cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags
38337,0G,0G,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,binance-alpha-airdrops;binance-ecosystem;binance-hodler-airdrops;binance-listing;data-provenance;depin;distributed-computing;layer-1;okx-ventures-portfolio;polygon-ventures-portfolio
1197,1CR,1CRedit,True,coin,consensus tags: ['mineable'],,False,,,mineable
1252,2GIVE,2GIVE,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'scrypt']",,False,,,hybrid-pow-pos;mineable;scrypt
93,42,42-coin,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'scrypt']",,False,,,hybrid-pow-pos;mineable;scrypt;store-of-value
221,888,OctoCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
3871,AB,AB,True,coin,consensus tags: ['mineable'],,False,,,binance-alpha;binance-alpha-airdrops;binance-ecosystem;bnb-chain-ecosystem;enterprise-solutions;marketplace;mineable
3437,ABBC,ABBC Coin,True,coin,"consensus tags: ['dpos', 'mineable']",,False,,,avalanche-ecosystem;bnb-chain-ecosystem;dpos;ethereum-ecosystem;fantom-ecosystem;mineable;payments;platform;polygon-ecosystem
374,ABY,ArtByte,True,coin,consensus tags: ['mineable'],,False,,,mineable
269,AC,AsiaCoin,True,coin,consensus tags: ['mineable'],Yield,False,,,mineable
1918,ACT,Achain,True,coin,consensus tags: ['dpos'],Farm,False,,,dpos;platform;smart-contracts
2010,ADA,Cardano,True,coin,"consensus tags: ['dpos', 'mineable', 'pos', 'staking']",Chain,False,,,2017-2018-alt-season;alleged-sec-securities;binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;cardano;cardano-ecosystem;dpos;iso-20022;layer-1;made-in-america;mineable;platform;pos;research;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;sec-security-token;smart-contracts;staking;us-strategic-crypto-reserve
948,ADC,AudioCoin,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'scrypt']",,False,,,hybrid-pow-pos;mineable;scrypt
1176,ADCN,Asiadigicoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
261,ADN,Aiden,True,coin,consensus tags: ['mineable'],,False,,,mineable
1136,ADZ,Adzcoin,True,coin,"consensus tags: ['mineable', 'pow', 'x11']",,False,,,mineable;pow;x11
1700,AE,Æternity,True,coin,consensus tags: ['mineable'],,False,,,medium-of-exchange;mineable;privacy;smart-contracts
1026,AEON,Aeon,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,cryptonight-lite;mineable;pow;privacy
911,AIB,Advanced Internet Blocks,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",,False,,,mineable;pow;scrypt
2062,AION,Aion,True,coin,consensus tags: ['mineable'],,False,,,ai-big-data;marketplace;mineable;payments
9104,AIOZ,AIOZ Network,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,ai-big-data;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;depin;distributed-computing;dwf-labs-portfolio;ethereum-ecosystem;exnetwork-capital-portfolio;generative-ai;layer-1;media;platform;smart-contracts;storage;video;web3
32193,ALEO,Aleo,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,binance-alpha;binance-alpha-airdrops;binance-ecosystem;layer-1;made-in-america;privacy;privacy-blockchain;smart-contracts;zero-knowledge-proofs
4030,ALGO,Algorand,True,coin,"consensus tags: ['mineable', 'pos']",,False,,,algorand-ecosystem;alleged-sec-securities;arrington-xrp-capital;arrington-xrp-capital-portfolio;binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;coinlist-launchpad;dwf-labs-portfolio;exnetwork-capital-portfolio;iso-20022;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;layer-1;made-in-america;mineable;multicoin-capital-portfolio;platform;pos;real-world-assets;real-world-assets-protocols;research;sec-security-token;smart-contracts;usv-portfolio
1505,ALIAS,Alias,True,coin,consensus tags: ['pos'],,False,,,pos;pos-30
14878,ALPH,Alephium,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,collectibles-nfts;dao;dapp;defi;ethereum-ecosystem;layer-1;mineable;pow;research;scaling;smart-contracts;wallet
29073,ALT,Altlayer,True,coin,consensus tags: ['staking'],Derivatives;Developer Tools;Dexs;Launchpad,False,,,binance-ecosystem;binance-labs-portfolio;binance-launchpool;binance-listing;bnb-chain-ecosystem;ethereum-ecosystem;governance;interoperability;jump-crypto;layer-2;polychain-capital-portfolio;privacy;restaking;rollups;rollups-as-a-service;staking;zero-knowledge-proofs
804,AMBER,AmberCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
