month,in_panel,observed,obs_top250,coins_obs,tokens_obs,other_obs
2015-08-31,245,245,245,169,14,62
2015-09-30,268,264,245,179,15,70
2015-10-31,285,275,246,186,17,72
2015-11-30,300,278,245,193,17,68
2015-12-31,312,288,245,196,19,73
2016-01-31,323,290,245,189,19,82
2016-02-29,332,298,245,195,21,82
2016-03-31,349,298,245,207,19,72
2016-04-30,368,325,245,220,20,85
2016-05-31,377,336,244,224,20,92
2016-06-30,390,331,244,228,22,81
2016-07-31,404,336,244,238,18,80
2016-08-31,414,337,244,243,18,76
2016-09-30,428,337,243,250,18,69
2016-10-31,443,351,243,256,19,76
2016-11-30,452,352,243,257,18,77
2016-12-31,464,347,243,256,17,74
2017-01-31,476,358,243,257,19,82
2017-02-28,486,357,243,257,19,81
2017-03-31,507,377,245,268,19,90
2017-04-30,529,397,244,277,23,97
2017-05-31,548,419,244,285,24,110
2017-06-30,569,433,244,292,27,114
2017-07-31,605,473,244,304,32,137
2017-08-31,634,497,246,310,36,151
2017-09-30,663,521,246,318,41,162
2017-10-31,689,539,247,321,47,171
2017-11-30,721,563,247,327,50,186
2017-12-31,749,582,247,336,54,192
2018-01-31,783,578,247,317,55,206
2018-02-28,797,587,247,317,60,210
2018-03-31,825,580,247,297,64,219
2018-04-30,842,563,248,283,63,217
2018-05-31,859,553,246,266,64,223
2018-06-30,873,554,246,270,64,220
2018-07-31,886,556,246,261,67,228
2018-08-31,896,545,246,250,64,231
2018-09-30,907,529,246,237,67,225
2018-10-31,919,520,244,220,70,230
2018-11-30,935,518,241,221,65,232
2018-12-31,947,531,243,228,68,235
2019-01-31,956,509,242,214,69,226
2019-02-28,971,527,243,224,67,236
2019-03-31,982,540,243,226,67,247
2019-04-30,995,553,243,228,74,251
2019-05-31,1011,562,243,229,75,258
2019-06-30,1027,557,244,235,75,247
2019-07-31,1044,556,244,217,76,263
2019-08-31,1066,554,242,217,79,258
2019-09-30,1081,561,241,212,81,268
2019-10-31,1094,560,241,210,84,266
2019-11-30,1100,557,240,208,84,265
2019-12-31,1111,564,239,213,83,268
2020-01-31,1123,570,238,218,90,262
2020-02-29,1131,572,238,218,91,263
2020-03-31,1149,583,237,211,96,276
2020-04-30,1164,605,237,222,97,286
2020-05-31,1175,611,238,222,100,289
2020-06-30,1185,601,237,214,103,284
2020-07-31,1205,597,235,211,103,283
2020-08-31,1240,598,238,202,116,280
2020-09-30,1270,624,235,222,128,274
2020-10-31,1276,632,234,225,133,274
2020-11-30,1293,563,245,284,70,209
2020-12-31,1313,627,235,222,139,266
2021-01-31,1337,612,234,212,151,249
2021-02-28,1355,597,234,205,155,237
2021-03-31,1373,577,238,185,161,231
2021-04-30,1384,577,236,187,166,224
2021-05-31,1396,575,233,191,165,219
2021-06-30,1399,575,231,197,165,213
2021-07-31,1405,560,232,186,167,207
2021-08-31,1419,556,233,179,176,201
2021-09-30,1429,543,233,178,175,190
2021-10-31,1443,526,234,172,175,179
2021-11-30,1462,528,235,171,174,183
2021-12-31,1478,538,234,174,179,185
2022-01-31,1484,548,232,175,185,188
2022-02-28,1488,560,234,181,187,192
2022-03-31,1495,554,233,177,190,187
2022-04-30,1503,560,234,180,190,190
2022-05-31,1507,568,232,182,189,197
2022-06-30,1514,575,228,182,193,200
2022-07-31,1516,575,230,179,195,201
2022-08-31,1520,568,229,177,198,193
2022-09-30,1522,566,229,173,198,195
2022-10-31,1528,563,230,176,199,188
2022-11-30,1533,571,229,176,202,193
2022-12-31,1536,572,229,180,201,191
2023-01-31,1543,573,230,177,206,190
2023-02-28,1553,575,232,178,204,193
2023-03-31,1561,564,233,179,201,184
2023-04-30,1563,562,233,175,203,184
2023-05-31,1573,563,232,180,201,182
2023-06-30,1577,558,233,178,203,177
2023-07-31,1583,547,233,171,201,175
2023-08-31,1588,546,231,172,200,174
2023-09-30,1591,551,231,179,200,172
2023-10-31,1597,550,233,177,200,173
2023-11-30,1607,545,232,171,202,172
2023-12-31,1621,547,236,170,205,172
2024-01-31,1631,541,237,169,206,166
2024-02-29,1641,545,238,169,208,168
2024-03-31,1654,539,239,167,207,165
2024-04-30,1665,546,236,168,208,170
2024-05-31,1687,552,236,160,211,181
2024-06-30,1698,537,238,167,207,163
2024-07-31,1705,535,236,167,203,165
2024-08-31,1713,536,236,168,205,163
2024-09-30,1720,536,237,169,206,161
2024-10-31,1734,541,237,164,203,174
2024-11-30,1742,535,239,163,198,174
2024-12-31,1761,535,237,164,198,173
2025-01-31,1787,573,232,162,215,196
2025-02-28,1802,547,237,169,202,176
2025-03-31,1813,572,230,160,217,195
2025-04-30,1818,538,232,162,203,173
2025-05-31,1828,567,227,157,221,189
2025-06-30,1834,528,230,157,204,167
2025-07-31,1842,523,233,154,207,162
2025-08-31,1850,530,232,157,209,164
2025-09-30,1870,537,232,158,216,163
2025-10-31,1880,538,228,162,213,163
2025-11-30,1895,577,221,161,234,182
2025-12-31,1908,581,221,159,233,189
2026-01-31,1910,574,220,159,229,186
2026-02-28,1916,563,219,156,221,186
2026-03-31,1922,556,219,154,215,187
2026-04-30,1929,555,218,150,219,186
2026-05-31,1939,540,217,146,207,187
