cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags,asset_class_original,confirmation_basis,sector,market_cap,month_end
5994,SHIB,Shiba Inu,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Dexs,True,,,animal-memes;base-ecosystem;binance-ecosystem;binance-listing;bnb-chain-ecosystem;doggone-doggerel;ethereum-ecosystem;etherlink-ecosystem;memes;sec-cftc-digital-commodities;sec-cftc-token-taxonomy,token,,Dexs;Meme,3247062903.263877,2026-05-31
33223,LAB,LAB,True,token,"governance/defi tags: ['defi', 'dex', 'governance']",Lending;Trading App,False,,,binance-alpha;binance-ecosystem;binance-listing;binance-wallet-ido;bnb-chain-ecosystem;defi;dex;governance;platform,token,,Lending;Trading App;DEX,3008265783.543261,2026-05-31
22974,TAO,Bittensor,True,token,governance/defi tags: ['dao'],Chain,False,,,ai-big-data;binance-ecosystem;binance-listing;bittensor-ecosystem;cmc-crypto-yearbook-2024-2025;dao;dcg-portfolio;depin;distributed-computing;generative-ai;layer-1;open-source;oracles;polkadot-ecosystem;polychain-capital-portfolio;robotics,token,,Chain;AI/Big Data;DePIN;Layer-1,2802250004.037569,2026-05-31
3792,USDE,USDe,True,token,DeFiLlama governance/DeFi category: ['Derivatives'],Derivatives,True,,,,token,,Derivatives,1985691955.3792124,2023-12-31
36341,ASTER,Aster,True,token,"governance/defi tags: ['decentralized-exchange-dex-token', 'defi', 'derivatives', 'dex', 'perp-dex-coins', 'perpetuals']",Basis Trading;Bridge;CeDeFi;Derivatives;Dexs;Yield,False,,,binance-alpha;binance-ecosystem;binance-listing;bnb-chain-ecosystem;decentralized-exchange-dex-token;defi;derivatives;dex;made-in-china;perp-dex-coins;perpetuals,token,,Basis Trading;Bridge;CeDeFi;Derivatives;Dexs;Yield;DEX;Perpetuals,1885317918.2960925,2026-05-31
33251,WLFI,World Liberty Financial,True,token,governance/defi tags: ['defi'],Lending,False,,,binance-ecosystem;binance-listing;bnb-chain-ecosystem;defi;ethereum-ecosystem;made-in-america;solana-ecosystem;wlfi-ecosystem,token,,Lending,1883776900.610007,2026-05-31
21159,ONDO,Ondo,True,token,"governance/defi tags: ['real-world-assets', 'real-world-assets-protocols']",Derivatives;RWA,False,,,binance-alpha;binance-ecosystem;binance-listing;cmc-crypto-yearbook-2024-2025;coinlist-launchpad;ethereum-ecosystem;made-in-america;real-world-assets;real-world-assets-protocols;world-liberty-financial-portfolio,token,,Derivatives;RWA,1768982702.0800838,2026-05-31
33038,SKY,Sky,True,token,"governance/defi tags: ['dao', 'defi', 'governance', 'lending-borowing', 'real-world-assets', 'real-world-assets-protocols']",CDP;Dexs;RWA;Risk Curators,False,,,1confirmation-portfolio;a16z-portfolio;arbitrum-ecosystem;binance-ecosystem;binance-listing;bitcoin-ecosystem;bnb-chain-ecosystem;dao;defi;dragonfly-capital-portfolio;electric-capital-portfolio;ethereum-ecosystem;governance;lending-borowing;near-protocol-ecosystem;pantera-capital-portfolio;paradigm-portfolio;placeholder-ventures-portfolio;polychain-capital-portfolio;real-world-assets;real-world-assets-protocols;spartan-group;standard-crypto-portfolio;store-of-value,token,,CDP;Dexs;RWA;Risk Curators,1580708605.876135,2026-05-31
4598,ACA,Acash Coin,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Canonical Bridge;Dexs,True,,,,token,,Canonical Bridge;Dexs,1409241518.5139408,2020-06-30
1904,VEN,Vechain [Token],True,token,DeFiLlama governance/DeFi category: ['Dexs'],Dexs,True,,,,token,,Dexs,1253758696.3889153,2018-07-31
