cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
2643,DVPN,1,0xc81978862b6cE566400579a5F8975732D42BD410,0,0,0
3628,MXC,1,0xaedf7656fbb47c5b97dd529ac1d0e807e051f2dd,0,0,0
11461,MSOL,1,0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b,0,0,0
11212,ATLAS,1,0xb9F747162AB1E95d07361f9048BcDF6eDdA9eEA7,6,240,0
20886,ASTRAFER,1,0xb51b97dd5569fab69495316b5a065cccff4b829d,7,280,1
4257,BTRS,1,0x8a2FE0bBD6dfEA4bC19123bABD5630Fd8D7F070f,8,320,1
7281,XPRT,1,0xD454b59f16D42667Be2fA55292d16647E27f40C4,9,360,1
24382,KAU,1,0x14DAB79fD7B7B3f748d434812Fd6a9Aac460EA52,10,400,1
30712,MERL,1,0xa0c56a8c0692bD10B3fA8f8bA79Cf5332B7107F9,11,440,1
39090,GTBTC,1,0xc2d09cf86b9ff43cb29ef8ddca57a4eb4410d5f3,20,800,2
2454,BTCU,42161,0x15fe999af89d43b1ac0790335da0ec61473a5b93,22,880,2
3874,IRIS,1,0x76C4A2B59523eaE19594c630aAb43288dBB1463f,24,960,2
2915,MOC,1,0x8bbfe65e31b348cd823c62e02ad8c19a84dd0dab,26,1040,2
37741,TBLLX,1,0x4cbf89ed7bb30b8a860fa86d3c96e9c72931299b,28,1120,2
3701,RIF,1,0x01b603be3D545F096015741e6503440282BF45fb,32,1280,3
20289,GRD,1,0x2445EE0B87B5C7f4D069A14b21a4838b70aa83ED,37,1480,3
4217,BOA,1,0x51bD4f39803fcAEFf3ef45aae2C3aaFf0B9faDcb,49,1960,4
37028,INTCX,1,0xf8a80d1cb9cfd70d03d655d9df42339846f3b3c8,50,2000,4
2918,BZ,1,0x4375e7ad8a01b8ec3ed041399f62d9cd120e0063,76,3040,6
5906,NVT,1,0x7b6f71c8b123b38aa8099e0098bec7fbc35b8a13,81,3240,6
27765,ZBU,1,0xe77f6aCD24185e149e329C1C0F479201b9Ec2f4B,85,3400,7
5816,REW,1,0x3FFfFA8F3cc943e43f9f17a83Cbb18f4Bbb9f4AC,94,3760,8
8028,mVIXY,1,0xf72FCd9DCF0190923Fadd44811E240Ef4533fc86,102,4080,8
