STREAM build: 5 tokens | WORKERS=8 BLOCK_WINDOW=100000 RATE=8.0/s DAILY_CAP=185000
  --- ADF cmc=24796 chain=137 START (gl_so_far=0) ---
    ADF batch 1/71 block<=799,999 tf=0 gl=8 lots=0 2s
    ADF batch 6/71 block<=4,799,999 tf=0 gl=48 lots=0 7s
    ADF batch 11/71 block<=8,799,999 tf=0 gl=88 lots=0 12s
    ADF batch 16/71 block<=12,799,999 tf=0 gl=128 lots=0 17s
    ADF batch 21/71 block<=16,799,999 tf=0 gl=168 lots=0 22s
    ADF batch 26/71 block<=20,799,999 tf=0 gl=208 lots=0 28s
    ADF batch 31/71 block<=24,799,999 tf=0 gl=248 lots=0 33s
    ADF batch 36/71 block<=28,799,999 tf=0 gl=288 lots=0 38s
    ADF batch 41/71 block<=32,799,999 tf=0 gl=328 lots=0 43s
    ADF batch 46/71 block<=36,799,999 tf=0 gl=368 lots=0 48s
    ADF batch 51/71 block<=40,799,999 tf=0 gl=408 lots=0 53s
    ADF batch 56/71 block<=44,799,999 tf=762 gl=448 lots=584 59s
    ADF batch 61/71 block<=48,799,999 tf=16188 gl=566 lots=12571 80s
    ADF batch 66/71 block<=52,799,999 tf=149893 gl=938 lots=21713 149s
    ADF batch 71/71 block<=56,446,284 tf=367684 gl=1499 lots=22649 238s
  ADF      cmc=24796 DONE tf=367684 gl=1499 code=9/41 scrMo=4 HODLmed=3.9% last=3.9%
  --- VVV cmc=35509 chain=8453 START (gl_so_far=1499) ---
    VVV batch 1/59 block<=799,999 tf=0 gl=1507 lots=0 4s
    VVV batch 6/59 block<=4,799,999 tf=0 gl=1547 lots=0 9s
    VVV batch 11/59 block<=8,799,999 tf=0 gl=1587 lots=0 14s
    VVV batch 16/59 block<=12,799,999 tf=0 gl=1627 lots=0 20s
    VVV batch 21/59 block<=16,799,999 tf=0 gl=1667 lots=0 25s
    VVV batch 26/59 block<=20,799,999 tf=0 gl=1707 lots=0 31s
    VVV batch 31/59 block<=24,799,999 tf=0 gl=1747 lots=0 36s
    VVV batch 36/59 block<=28,799,999 tf=3619900 gl=12653 lots=99518 1854s
    VVV batch 41/59 block<=32,799,999 tf=5911374 gl=19415 lots=102163 2961s
    VVV batch 46/59 block<=36,799,999 tf=7110642 gl=23017 lots=116985 3561s
    VVV batch 51/59 block<=40,799,999 tf=9197894 gl=28855 lots=121334 9201s
    VVV batch 56/59 block<=44,799,999 tf=24717218 gl=74303 lots=135689 69244s
  VVV      cmc=35509 DONE tf=27792859 gl=83565 code=12/29 scrMo=4 HODLmed=5.7% last=5.5%
  --- KAITO cmc=35763 chain=8453 START (gl_so_far=83565) ---
    KAITO batch 1/59 block<=799,999 tf=0 gl=83573 lots=0 2s
    KAITO batch 6/59 block<=4,799,999 tf=0 gl=83613 lots=0 12s
    KAITO batch 11/59 block<=8,799,999 tf=0 gl=83653 lots=0 18s
