STREAM build: 1 tokens | WORKERS=8 BLOCK_WINDOW=100000 RATE=8.0/s DAILY_CAP=185000
  --- RAIN cmc=38341 chain=42161 START (gl_so_far=0) ---
    RAIN batch 1/587 block<=799,999 tf=0 gl=8 lots=0 2s
    RAIN batch 6/587 block<=4,799,999 tf=0 gl=48 lots=0 7s
    RAIN batch 11/587 block<=8,799,999 tf=0 gl=88 lots=0 12s
    RAIN batch 16/587 block<=12,799,999 tf=0 gl=128 lots=0 17s
    RAIN batch 21/587 block<=16,799,999 tf=0 gl=168 lots=0 22s
    RAIN batch 26/587 block<=20,799,999 tf=0 gl=208 lots=0 27s
    RAIN batch 31/587 block<=24,799,999 tf=0 gl=248 lots=0 32s
    RAIN batch 36/587 block<=28,799,999 tf=0 gl=288 lots=0 37s
    RAIN batch 41/587 block<=32,799,999 tf=0 gl=328 lots=0 42s
    RAIN batch 46/587 block<=36,799,999 tf=0 gl=368 lots=0 47s
    RAIN batch 51/587 block<=40,799,999 tf=0 gl=408 lots=0 52s
    RAIN batch 56/587 block<=44,799,999 tf=0 gl=448 lots=0 57s
    RAIN batch 61/587 block<=48,799,999 tf=0 gl=488 lots=0 62s
    RAIN batch 66/587 block<=52,799,999 tf=0 gl=528 lots=0 67s
    RAIN batch 71/587 block<=56,799,999 tf=0 gl=568 lots=0 72s
    RAIN batch 76/587 block<=60,799,999 tf=0 gl=608 lots=0 77s
    RAIN batch 81/587 block<=64,799,999 tf=0 gl=648 lots=0 82s
    RAIN batch 86/587 block<=68,799,999 tf=0 gl=688 lots=0 87s
    RAIN batch 91/587 block<=72,799,999 tf=0 gl=728 lots=0 92s
    RAIN batch 96/587 block<=76,799,999 tf=0 gl=768 lots=0 97s
    RAIN batch 101/587 block<=80,799,999 tf=0 gl=808 lots=0 102s
    RAIN batch 106/587 block<=84,799,999 tf=0 gl=848 lots=0 107s
    RAIN batch 111/587 block<=88,799,999 tf=0 gl=888 lots=0 112s
    RAIN batch 116/587 block<=92,799,999 tf=0 gl=928 lots=0 117s
    RAIN batch 121/587 block<=96,799,999 tf=0 gl=968 lots=0 122s
    RAIN batch 126/587 block<=100,799,999 tf=0 gl=1008 lots=0 127s
    RAIN batch 131/587 block<=104,799,999 tf=0 gl=1048 lots=0 132s
    RAIN batch 136/587 block<=108,799,999 tf=0 gl=1088 lots=0 137s
    RAIN batch 141/587 block<=112,799,999 tf=0 gl=1128 lots=0 142s
    RAIN batch 146/587 block<=116,799,999 tf=0 gl=1168 lots=0 147s
    RAIN batch 151/587 block<=120,799,999 tf=0 gl=1208 lots=0 152s
    RAIN batch 156/587 block<=124,799,999 tf=0 gl=1248 lots=0 157s
    RAIN batch 161/587 block<=128,799,999 tf=0 gl=1288 lots=0 162s
    RAIN batch 166/587 block<=132,799,999 tf=0 gl=1328 lots=0 167s
    RAIN batch 171/587 block<=136,799,999 tf=0 gl=1368 lots=0 172s
    RAIN batch 176/587 block<=140,799,999 tf=0 gl=1408 lots=0 177s
    RAIN batch 181/587 block<=144,799,999 tf=0 gl=1448 lots=0 182s
    RAIN batch 186/587 block<=148,799,999 tf=0 gl=1488 lots=0 187s
    RAIN batch 191/587 block<=152,799,999 tf=0 gl=1528 lots=0 192s
    RAIN batch 196/587 block<=156,799,999 tf=0 gl=1568 lots=0 197s
    RAIN batch 201/587 block<=160,799,999 tf=0 gl=1608 lots=0 202s
    RAIN batch 206/587 block<=164,799,999 tf=0 gl=1648 lots=0 207s
    RAIN batch 211/587 block<=168,799,999 tf=0 gl=1688 lots=0 212s
    RAIN batch 216/587 block<=172,799,999 tf=0 gl=1728 lots=0 217s
    RAIN batch 221/587 block<=176,799,999 tf=0 gl=1768 lots=0 222s
    RAIN batch 226/587 block<=180,799,999 tf=0 gl=1808 lots=0 227s
    RAIN batch 231/587 block<=184,799,999 tf=0 gl=1848 lots=0 233s
    RAIN batch 236/587 block<=188,799,999 tf=0 gl=1888 lots=0 238s
    RAIN batch 241/587 block<=192,799,999 tf=0 gl=1928 lots=0 243s
    RAIN batch 246/587 block<=196,799,999 tf=0 gl=1968 lots=0 248s
    RAIN batch 251/587 block<=200,799,999 tf=0 gl=2008 lots=0 253s
    RAIN batch 256/587 block<=204,799,999 tf=0 gl=2048 lots=0 258s
    RAIN batch 261/587 block<=208,799,999 tf=0 gl=2088 lots=0 263s
    RAIN batch 266/587 block<=212,799,999 tf=0 gl=2128 lots=0 268s
    RAIN batch 271/587 block<=216,799,999 tf=0 gl=2168 lots=0 273s
    RAIN batch 276/587 block<=220,799,999 tf=0 gl=2208 lots=0 278s
    RAIN batch 281/587 block<=224,799,999 tf=0 gl=2248 lots=0 283s
    RAIN batch 286/587 block<=228,799,999 tf=0 gl=2288 lots=0 288s
    RAIN batch 291/587 block<=232,799,999 tf=0 gl=2328 lots=0 293s
