cmc_id,symbol,name,dl_slug,cmcid_categories,symbol_categories,has_addr,token_chain,has_snapshot,stage1_label,stage1_reason
314,OC,OrangeCoin,,,Yield Aggregator,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
329,SYNC,Sync,,,NFT Lending;Reserve Currency,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
399,MIN,Mineralscoin,,,DEX Aggregator;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
473,APEX,ApexCoin,,,Derivatives;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
603,DEX,InstantDEX,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
659,BITS,Bitswift,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
661,ARCH,ARCHcoin,,,Leveraged Farming,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
671,GAIA,GAIA,,,Reserve Currency,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
703,RBT,Rimbit,,,Reserve Currency,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
769,XUSD,CoinoUSD,,,Algo-Stables;CDP,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
785,GP,GoldPieces,,,Launchpad,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
788,COVAL,Circuits of Value,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
793,CELL,SolarFarm,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
810,LQD,LIQUID,,,Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
814,DOT,Dotcoin,,,Foundation;Liquid Staking;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
873,XEM,NEM,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
888,JAY,Jay,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
963,CORE,CORE,,,Canonical Bridge;Derivatives;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1062,FLY,Flycoin,,,CDP;Cross Chain Bridge,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1080,NEU,NeuCoin,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1091,PLS,PLAY,,,Chain;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1104,REP,Augur,augur,Prediction Market,Prediction Market,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Prediction Market (slug=augur)"
1121,BST,BitStone,,,Farm;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1125,AMP,HyperSpace,,,Algo-Stables;Payments,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1166,WARP,WARP,polkastarter,Launchpad,Lending;Reserve Currency,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Launchpad (slug=polkastarter)"
1237,JACK,BlackJack,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1253,DAO,The DAO,,,Dexs;Services,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1274,WAVES,Waves,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1295,DRACO,DT Token,,,Algo-Stables;Farm,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1467,ARC,Arcade Token,,,DEX Aggregator;Dexs;Services,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1500,WINGS,Wings,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1503,JUP,Jupiter,,,Basis Trading;DCA Tools;DEX Aggregator;Derivatives;Interface;Launchpad;Lending;Liquid Staking,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1518,MKR,Maker,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1552,MLN,Enzyme,enzyme-finance,Dexs;Indexes,Indexes,True,Multi-Chain,True,LOW,"cmcId-matched DL protocol, non-staking category: Dexs;Indexes (slug=enzyme-finance)"
1556,TIME,Chrono.tech,timewarp,Yield,Lending;Yield,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield (slug=timewarp)"
1573,CASINO,Casino,defyswap,Dexs,Dexs,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=defyswap)"
1619,SKY,Skycoin,,,CDP;Dexs;RWA;Risk Curators,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1637,RLC,iExec RLC,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1660,TKN,Monolith,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1680,ANT,Aragon,aragon,Services,Services,True,,False,LOW,"cmcId-matched DL protocol, non-staking category: Services (slug=aragon)"
1684,QTUM,Qtum,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1722,MORE,More Coin,,,Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1732,NMR,Numeraire,erasure,Derivatives,Derivatives,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Derivatives (slug=erasure)"
1750,GXC,GXChain,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1757,FUN,FUNToken,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1758,PAY,TenX,,,Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1768,ADX,AdEx,,,Derivatives;Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
1785,GAS,Gas,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
