cmc_id,symbol,slug,cats,has_staking_pool,staking_usd,staking_detail,err
1104,REP,augur,Prediction Market,False,0,,
1166,WARP,polkastarter,Launchpad,True,2380165,"Ethereum-staking=532,674 | Binance-staking=657,408 | staking=1,190,083",
1552,MLN,enzyme-finance,Dexs;Indexes,False,0,,
1556,TIME,timewarp,Yield,True,20255,"Binance-staking=4,864 | Ethereum-staking=5,263 | Ethereum-pool2=99 | Binance-pool2=38 | staking=10,128 | pool2=137",
1573,CASINO,defyswap,Dexs,True,0,Fantom-staking=0 | staking=0,
1680,ANT,aragon,Services,False,0,,
1732,NMR,erasure,Derivatives,False,0,,
2058,AST,airswap,DEX Aggregator,False,0,,
2873,MET,metronome-v1,Yield,False,0,,
2930,IQ,iq,Services,True,3521958,"Ethereum-staking=1,760,979 | staking=1,760,979",
2933,BMX,bitmart,CEX,False,0,,
2982,MVL,mvl-staking,Yield,True,177166,"Binance-staking=1,460 | Ethereum-staking=87,123 | Ethereum-pool2=306,483 | Binance-pool2=1,452 | staking=88,583 | pool2=307,935",
3748,HXRO,hxro-network,Derivatives,True,203782,"Solana-staking=101,891 | staking=101,891",
3814,CELR,cbridge,Bridge,False,0,,
3835,ORBS,orbs,Farm,True,21507352,"Ethereum-staking=10,753,676 | staking=10,753,676",
3930,TT,thundercore-staking,Staking Pool,False,0,,
4090,WXT,nereus-finance,Lending,False,0,,
4134,AKRO,akropolis,Yield,True,1794,Ethereum-staking=897 | staking=897,
4157,RUNE,thorchain-dex,Dexs,False,0,,
4279,SXP,swipe,Dexs,False,0,,
5015,HEX,hex,Yield,True,0,Ethereum-staking=0 | staking=0,
5190,FLEX,coinflex,Yield,True,0,smartBCH-staking=0 | staking=0,
5279,SOLO,sologenic,Dexs,False,0,,
5354,PEAK,peakdefi,Yield,True,18388,"Binance-staking=9,194 | Ethereum-staking=0 | staking=9,194",
5566,KEEP,keep-network,Cross Chain Bridge,True,392450,"Ethereum-staking=196,225 | staking=196,225",
5601,STAKE,xdai-stake-bridge,Canonical Bridge,False,0,,
5631,ORN,dedust,Dexs,True,2196916,"TON-staking=1,098,458 | staking=1,098,458",
5829,SWAP,team-finance,Token Locker,False,0,,
5906,NVT,nerve-staking,Dexs,False,0,,
5957,YFII,yfii,Yield Aggregator,False,0,,
6756,ACA,acala,Canonical Bridge,False,0,,
6783,AXS,axie-infinity,Gaming,False,0,,
6929,HEGIC,hegic,Options,False,0,,
6945,AMP,flexa,Payments,False,0,,
7064,BAKE,bakeryswap,Dexs,True,1966,Binance-staking=983 | staking=983,
7228,DDX,derivadex,Derivatives,False,0,,
7232,ALPHA,stella,Leveraged Farming,False,0,,
7242,CORE,cvault-finance,Yield,False,0,,
7617,SFI,saffron-finance,Yield,True,259250,"Ethereum-staking=129,625 | Ethereum-pool2=7,948 | staking=129,625 | pool2=7,948",
7654,RFOX,rfox,Yield,True,658,"Binance-staking=329 | Binance-pool2=6,809 | staking=329 | pool2=6,809",
7737,API3,api3,Risk Curators,True,28528312,"Ethereum-staking=14,264,156 | staking=14,264,156",
7857,MIR,mirror,Derivatives,False,0,,
8202,ZKB,zkswap,Chain;Dexs,False,0,,
8290,SUPER,superfarm,Services,True,303588,"Ethereum-staking=151,794 | Ethereum-pool2=268,189 | staking=151,794 | pool2=268,189",
8335,MDX,mdex,Dexs,False,0,,
8602,AUCTION,bounce-finance,Launchpad,True,200122,"Ethereum-staking=100,061 | Ethereum-pool2=0 | staking=100,061 | pool2=0",
8615,EPIC,ethernity-chain,Yield,False,0,,
8719,ILV,illuvium,Gaming,True,3861528,"Ethereum-pool2=1,141,874 | Ethereum-staking=1,930,764 | pool2=1,141,874 | staking=1,930,764",
8766,ALICE,my-neighbor-alice,Services,False,0,,
8857,ANC,anchor,Lending,False,0,,
8891,BTCST,btcst,Yield,True,87986,"Binance-staking=43,993 | staking=43,993",
8938,EPS,ellipsis-finance,Dexs,True,237094,"Binance-staking=118,547 | staking=118,547",
8972,SFUND,seedify,Launchpad,True,0,"Arbitrum-pool2=0 | Ethereum-pool2=0 | Ethereum-staking=0 | Binance-staking=0 | Arbitrum-staking=0 | Binance-pool2=14,934 | pool2=14,934 | staking=0",
