cmc_id,symbol,name,defillama_categories,sector,tags,ambiguous_flag
314,OC,OrangeCoin,Yield Aggregator,Yield Aggregator,,True
329,SYNC,Sync,NFT Lending;Reserve Currency,NFT Lending;Reserve Currency,,True
399,MIN,Mineralscoin,DEX Aggregator;Dexs,DEX Aggregator;Dexs,,True
473,APEX,ApexCoin,Derivatives;Dexs,Derivatives;Dexs,,True
603,DEX,InstantDEX,Dexs,Dexs,,True
659,BITS,Bitswift,Yield,Yield,enterprise-solutions;platform,True
661,ARCH,ARCHcoin,Leveraged Farming,Leveraged Farming,,True
671,GAIA,GAIA,Reserve Currency,Reserve Currency,,True
703,RBT,Rimbit,Reserve Currency,Reserve Currency,,True
769,XUSD,CoinoUSD,Algo-Stables;CDP,Algo-Stables;CDP,,True
785,GP,GoldPieces,Launchpad,Launchpad,,True
788,COVAL,Circuits of Value,,NFT,bitcoin-ecosystem;btc-ecosystem;collectibles-nfts;defi,False
793,CELL,SolarFarm,Dexs,Dexs,,True
810,LQD,LIQUID,Lending,Lending,,True
814,DOT,Dotcoin,Foundation;Liquid Staking;Yield,Foundation;Liquid Staking;Yield,,True
873,XEM,NEM,,Payments;Smart Contract Platform,defi;fantom-ecosystem;medium-of-exchange;payments;poi;smart-contracts,False
888,JAY,Jay,Yield,Yield,,True
963,CORE,CORE,Canonical Bridge;Derivatives;Yield,Canonical Bridge;Derivatives;Yield,,True
1062,FLY,Flycoin,CDP;Cross Chain Bridge,CDP;Cross Chain Bridge,,True
1080,NEU,NeuCoin,Yield,Yield,,True
1091,PLS,PLAY,Chain;Yield,Chain;Yield,,True
1104,REP,Augur,Prediction Market,Prediction Market;DePIN;Storage,1confirmation-portfolio;defi;depin;ethereum-ecosystem;ipfs;multicoin-capital-portfolio;oracles;pantera-capital-portfolio;platform;polygon-ecosystem;prediction-markets;reputation;storage,False
1121,BST,BitStone,Farm;Yield,Farm;Yield,,True
1125,AMP,HyperSpace,Algo-Stables;Payments,Algo-Stables;Payments,,True
1166,WARP,WARP,Lending;Reserve Currency,Lending;Reserve Currency,,True
1237,JACK,BlackJack,Yield,Yield,,True
1253,DAO,The DAO,Dexs;Services,Dexs;Services,,True
1274,WAVES,Waves,,Smart Contract Platform,bnb-chain-ecosystem;defi;dwf-labs-portfolio;ethereum-ecosystem;lpos;platform;smart-contracts;solana-ecosystem;waves-ecosystem,False
1295,DRACO,DT Token,Algo-Stables;Farm,Algo-Stables;Farm,,True
1467,ARC,Arcade Token,DEX Aggregator;Dexs;Services,DEX Aggregator;Dexs;Services,,True
1500,WINGS,Wings,Dexs,Dexs,asset-management;crowdfunding,True
1503,JUP,Jupiter,Basis Trading;DCA Tools;DEX Aggregator;Derivatives;Interface;Launchpad;Lending;Liquid Staking,Basis Trading;DCA Tools;DEX Aggregator;Derivatives;Interface;Launchpad;Lending;Liquid Staking,binance-smart-chain;bnb-chain;enterprise-solutions;platform,True
1518,MKR,Maker,,RWA,1confirmation-portfolio;a16z-portfolio;arbitrum-ecosystem;arbitrum-ecosytem;avalanche-ecosystem;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;dao;defi;dragonfly-capital-portfolio;electric-capital-portfolio;ethereum-ecosystem;governance;lending-borowing;made-in-america;near-protocol-ecosystem;pantera-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;placeholder-ventures-portfolio;polychain-capital-portfolio;real-world-assets;spartan-group;standard-crypto-portfolio;store-of-value,False
1552,MLN,Enzyme,Indexes,Indexes,asset-management;binance-ecosystem;binance-listing;defi;ethereum-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;placeholder-ventures-portfolio;polygon-ecosystem,False
1556,TIME,Chrono.tech,Lending;Yield,Lending;Yield,binance-smart-chain;bnb-chain;defi;dwf-labs-portfolio,False
1573,CASINO,Casino,Dexs,Dexs,,True
1619,SKY,Skycoin,CDP;Dexs;RWA;Risk Curators,CDP;Dexs;RWA;Risk Curators;DePIN;Storage,distributed-computing;filesharing;platform;storage,True
1637,RLC,iExec RLC,,AI Agents;AI/Big Data;NFT;DePIN;Storage;Interoperability;Payments;Privacy,ai-agents;ai-big-data;arbitrum-ecosystem;art;binance-ecosystem;binance-listing;collectibles-nfts;communications-social-media;content-creation;defi;depin;distributed-computing;dot-ecosystem;enterprise-solutions;ethereum-ecosystem;filesharing;generative-ai;interoperability;marketing;marketplace;oracles;payments;platform;polkadot;polkadot-ecosystem;polygon-ecosystem;privacy;research;scaling;services;storage;substrate;token;web3,False
1660,TKN,Monolith,Dexs,Dexs,defi;services,False
1680,ANT,Aragon,Services,Services,boostvc-portfolio;cosmos-ecosystem;dao;enterprise-solutions;ethereum;ethereum-ecosystem;governance;placeholder-ventures-portfolio;platform;polkadot;substrate;web3,False
1684,QTUM,Qtum,,Smart Contract Platform,binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;bitcoin-ecosystem;btc-ecosystem;defi;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;made-in-china;platform;qtum-ecosystem;smart-contracts,False
1722,MORE,More Coin,Lending,Lending,entertainment;events;loyalty,True
1732,NMR,Numeraire,Derivatives,Derivatives;AI/Big Data;Payments,ai-big-data;asset-management;binance-ecosystem;binance-listing;coinfund-portfolio;defi;ethereum-ecosystem;generative-ai;paradigm-portfolio;paradigm-xzy-screener;payments;placeholder-ventures-portfolio;research;usv-portfolio,False
1750,GXC,GXChain,,DEX,decentralized-exchange;decentralized-exchange-dex-token;platform,False
1757,FUN,FUNToken,Dexs,Dexs;Gaming;Payments,binance-ecosystem;binance-listing;defi;ethereum-ecosystem;gambling;gaming;marketplace;pantera-capital-portfolio;payments,False
1758,PAY,TenX,Yield,Yield;Payments,fenbushi-capital-portfolio;kenetic-capital-portfolio;kinetic-capital;medium-of-exchange,True
1768,ADX,AdEx,Derivatives;Dexs,Derivatives;Dexs;AI Agents;AI/Big Data;Smart Contract Platform,account-abstraction;ai-agents;ai-applications;ai-big-data;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defai;defi;dot-ecosystem;ethereum-ecosystem;generative-ai;marketing;polkadot;polkadot-ecosystem;polygon-ecosystem;smart-contracts;substrate;web3;x402-ecosystem,False
1785,GAS,Gas,Dexs,Dexs;Payments;Smart Contract Platform,binance-ecosystem;binance-listing;defi;medium-of-exchange;neo-ecosystem;payments;smart-contracts,False
1808,OMG,OMG Network,,Payments,alleged-sec-securities;defi;ethereum-ecosystem;medium-of-exchange;pantera-capital-portfolio;payments;scaling;sec-security-token;state-channel;state-channels,False
1834,PLR,Pillar,,DePIN;Identity,dao;defi;distributed-computing;governance;identity;platform;wallet,False
1847,MSP,Mothership,Dexs,Dexs,,True
1867,CTR,Centra,Governance Incentives;Yield,Governance Incentives;Yield,,True
1882,CAT,BlockCAT,Yield Aggregator,Yield Aggregator,,True
1904,VEN,Vechain [Token],Dexs,Dexs,,True
1982,KNCL,Kyber Network Crystal Legacy,,DEX,amm;dao;decentralized-exchange;defi;governance;kinetic-capital;marketplace;pantera-capital-portfolio;parafi-capital;three-arrows-capital-portfolio,False
1984,SUB,Substratum,Reserve Currency,Reserve Currency;DePIN,distributed-computing;platform;sharing-economy,True
2015,ATM,ATMChain,Options,Options,,True
2057,EDO,Eidoo,,,defi;services,False
2058,AST,AirSwap,DEX Aggregator;Dexs,DEX Aggregator;Dexs;DEX;Payments;Smart Contract Platform,decentralized-exchange;decentralized-exchange-dex-token;defi;ethereum-ecosystem;gnosis-chain-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;marketplace;oracles;payments;smart-contracts,False
2071,REQ,Request,Developer Tools,Developer Tools;Payments;Smart Contract Platform,binance-ecosystem;binance-listing;defi;ethereum-ecosystem;medium-of-exchange;payments;polygon-ecosystem;smart-contracts,False
2081,AMB,AirDAO,,AI/Big Data;IoT;Layer-1,ai-big-data;defi;dwf-labs-portfolio;enterprise-solutions;governance;iot;layer-1;logistics;platform,False
2096,RCN,Ripio Credit Network,,,boostvc-portfolio;defi;fenbushi-capital-portfolio;hashkey-capital-portfolio;lending-borowing;services,False
2099,ICX,ICON,,Interoperability;Smart Contract Platform,binance-ecosystem;binance-listing;binance-smart-chain;cosmos-ecosystem;cross-chain;defi;enterprise-solutions;ethereum-ecosystem;interoperability;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;pantera-capital-portfolio;platform;smart-contracts,False
2110,DOV,Dovu,Dexs,Dexs,binance-smart-chain;bnb-chain,True
2112,PHB,Phoenix Global,,,binance-smart-chain;defi;enterprise-solutions;research;services,False
2120,FUEL,Etherparty,Bridge;Chain;Yield,Bridge;Chain;Yield;Payments,dapp;marketplace;payments,True
2165,ERC20,ERC20,,NFT;Payments;Meme;Yield,binance-smart-chain;bnb-chain;collectibles-nfts;defi;ethereum;ethereum-ecosystem;medium-of-exchange;memes;payments;yield-farming,False
2176,HST,Decision Token,Launchpad;Prediction Market,Launchpad;Prediction Market,,True
2202,PRL,Oyster,CDP;Gaming;Yield Aggregator,CDP;Gaming;Yield Aggregator,,True
2223,VEE,BLOCKv,Lending,Lending;NFT,collectibles-nfts;communications-social-media;content-creation;enterprise-solutions;ethereum-ecosystem;media;polygon-ecosystem,True
2239,LEND,Aave,Lending;Onchain Capital Allocator;Yield,Lending;Onchain Capital Allocator;Yield,defi;platform,False
2242,QBT,Qbao,Lending,Lending,marketplace,True
2273,UQC,Uquid Coin,,Payments,asset-management;commodities;defi;defi-2;e-commerce;ethereum-ecosystem;marketplace;payments;token,False
2277,SMT,SmartMesh,Dexs,Dexs;IoT,iot;technology,True
2296,OST,OST,Dexs,Dexs,kinetic-capital;services,True
2308,SAI,Single Collateral DAI ,Derivatives;Onchain Capital Allocator;Yield,Derivatives;Onchain Capital Allocator;Yield,,True
2318,NEU,Neumark,Yield,Yield,asset-management;crowdfunding,True
2320,UTK,xMoney,,Payments;Smart Contract Platform,binance-ecosystem;binance-listing;cybersecurity;defi;elrond-ecosystem;ethereum-ecosystem;multiversx-ecosystem;payments;smart-contracts,False
2324,ONE,BigONE Token,Dexs,Dexs;Exchange Token,binance-smart-chain;bnb-chain;centralized-exchange;marketplace,True
2341,SWFTC,SwftCoin,,NFT;Interoperability;Payments,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;defi;ethereum-ecosystem;interoperability;marketplace;payments,False
