cmc_id,symbol,name,asset_class,sector,staking_start,dl_slug,dl_category,token_address,token_chain,token_chains,snapshot_space,gecko_id,dl_matched,n_dl_entries,has_address,has_snapshot
38337,0G,0G,coin,DePIN;Layer-1,,,,,,,,,False,0,False,False
1197,1CR,1CRedit,coin,,,,,,,,,,False,0,False,False
1252,2GIVE,2GIVE,coin,,,,,,,,,,False,0,False,False
93,42,42-coin,coin,,,,,,,,,,False,0,False,False
221,888,OctoCoin,coin,,,,,,,,,,False,0,False,False
3871,AB,AB,coin,,,,,,,,,,False,0,False,False
3437,ABBC,ABBC Coin,coin,Payments,,,,,,,,,False,0,False,False
374,ABY,ArtByte,coin,,,,,,,,,,False,0,False,False
269,AC,AsiaCoin,coin,Yield,,,,,,,,,False,0,False,False
1918,ACT,Achain,coin,Farm;Smart Contract Platform,,,,,,,,,False,0,False,False
2010,ADA,Cardano,coin,Chain;Layer-1;Smart Contract Platform,,cardano,Chain,,,,,cardano,True,1,False,False
948,ADC,AudioCoin,coin,,,,,,,,,,False,0,False,False
1176,ADCN,Asiadigicoin,coin,,,,,,,,,,False,0,False,False
261,ADN,Aiden,coin,,,,,,,,,,False,0,False,False
1136,ADZ,Adzcoin,coin,,,,,,,,,,False,0,False,False
1700,AE,Æternity,coin,Payments;Privacy;Smart Contract Platform,,,,,,,,,False,0,False,False
1026,AEON,Aeon,coin,Privacy,,,,,,,,,False,0,False,False
911,AIB,Advanced Internet Blocks,coin,,,,,,,,,,False,0,False,False
2062,AION,Aion,coin,AI/Big Data;Payments,,,,,,,,,False,0,False,False
9104,AIOZ,AIOZ Network,coin,AI/Big Data;DePIN;Layer-1;Smart Contract Platform;Storage,,,,,,,,,False,0,False,False
32193,ALEO,Aleo,coin,Layer-1;Privacy;Smart Contract Platform;Zero Knowledge,,,,,,,,,False,0,False,False
4030,ALGO,Algorand,coin,Layer-1;RWA;Smart Contract Platform,,,,,,,,,False,0,False,False
1505,ALIAS,Alias,coin,,,,,,,,,,False,0,False,False
14878,ALPH,Alephium,coin,NFT;Layer-1;Smart Contract Platform,,,,,,,,,False,0,False,False
29073,ALT,Altlayer,coin,Derivatives;Developer Tools;Dexs;Launchpad;Interoperability;Layer-2;Privacy;Restaking;Zero Knowledge,,altlayer,Developer Tools,ethereum:0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,,,,altlayer,True,1,True,False
804,AMBER,AmberCoin,coin,,,,,,,,,,False,0,False,False
1035,AMS,AmsterdamCoin,coin,,,,,,,,,,False,0,False,False
43,ANC,Anoncoin,coin,Lending,,,,,,,,,False,0,False,False
2874,AOA,Aurora,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
21794,APT,Aptos,coin,Canonical Bridge;Lending;Layer-1,,aptos,Canonical Bridge,aptos:0x1::aptos_coin::AptosCoin,,,,aptos,True,1,True,False
5632,AR,Arweave,coin,DePIN;Storage;Layer-1,,,,,,,,,False,0,False,False
1434,ARC,Advanced Technology Coin,coin,DEX Aggregator;Dexs;Services,,,,,,,,,False,0,False,False
1558,ARGUS,Argus,coin,,,,,,,,,,False,0,False,False
142,ARI,Aricoin,coin,Gaming,,,,,,,,,False,0,False,False
1586,ARK,Ark,coin,Payments,,,,,,,,,False,0,False,False
3951,ARRR,Pirate Chain,coin,Payments;Privacy;Zero Knowledge,,,,,,,,,False,0,False,False
12885,ASTR,Astar,coin,Chain;Layer-1;Layer-2;Modular Blockchain;Smart Contract Platform,,astar-dapps-staking,Chain,,Astar,Astar,,astar,True,1,False,False
1970,ATB,ATBCoin,coin,,,,,,,,,,False,0,False,False
3794,ATOM,Cosmos,coin,Interoperability;Layer-1,,,,,,,,,False,0,False,False
1361,ATX,Artex Coin,coin,,,,,,,,,,False,0,False,False
666,AU,Aurum Coin,coin,,,,,,,,,,False,0,False,False
148,AUR,Auroracoin,coin,Gamified Mining;Lending,,,,,,,,,False,0,False,False
5805,AVAX,Avalanche,coin,Canonical Bridge;Layer-1;RWA;Smart Contract Platform,,avalanche,Canonical Bridge,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,,,,avalanche-2,True,1,True,False
11976,AZERO,Aleph Zero,coin,Layer-1;Privacy;Smart Contract Platform;Zero Knowledge,,,,,,,,,False,0,False,False
2204,B2B,B2BX,coin,Algo-Stables;Smart Contract Platform,,,,,,,,,False,0,False,False
3684,B2G,Bitcoiin,coin,,,,,,,,,,False,0,False,False
32198,BABY,Babylon,coin,Dexs;Restaking,,babylon-protocol,Restaking,,Bitcoin,Bitcoin,,babylon,True,1,False,False
1463,BASH,LuckChain,coin,,,,,,,,,,False,0,False,False
1697,BAT,Basic Attention Token,coin,Services;AI/Big Data;Interoperability;Payments;Privacy;Smart Contract Platform,,basic-attention,Services,0x0d8775f648430679a709e98d2b0cb6250d2887ef,,,,basic-attention-token,True,1,True,False
723,BAY,BitBay,coin,Yield Aggregator;Exchange Token;Payments,,,,,,,,,False,0,False,False
