cmc_id,symbol,month_end,staked_native,circulating_supply,staking_ratio,source,flag
3635,CRO,2025-07-31,11982657837.5578,32352666177.5172,0.370376,cosmos_lcd_pool@24897536,basecro / 10^8; block_time=2025-07-31T23:59:54Z
3635,CRO,2025-08-31,11034698256.512,33598726954.5924,0.328426,cosmos_lcd_pool@25409240,basecro / 10^8; block_time=2025-08-31T23:59:56Z
3635,CRO,2025-09-30,11131850524.4157,34841986562.4189,0.319495,cosmos_lcd_pool@25902495,basecro / 10^8; block_time=2025-09-30T23:59:57Z
3635,CRO,2025-10-31,11286126979.1973,36087755505.5111,0.312741,cosmos_lcd_pool@26411533,basecro / 10^8; block_time=2025-10-31T23:59:56Z
3635,CRO,2025-11-30,11543637966.4558,37331342214.0304,0.309221,cosmos_lcd_pool@26905419,basecro / 10^8; block_time=2025-11-30T23:59:58Z
3635,CRO,2025-12-31,12388649329.7725,38578563237.684,0.321128,cosmos_lcd_pool@27422953,basecro / 10^8; block_time=2025-12-31T23:59:55Z
3635,CRO,2026-01-31,12713626391.7149,39826694067.4467,0.319224,cosmos_lcd_pool@27945909,basecro / 10^8; block_time=2026-01-31T23:59:56Z
3635,CRO,2026-02-28,12982519238.5722,41067159829.3746,0.316129,cosmos_lcd_pool@28419276,basecro / 10^8; block_time=2026-02-28T23:59:58Z
3635,CRO,2026-03-31,13159815271.9459,42315754948.868,0.310991,cosmos_lcd_pool@28944378,basecro / 10^8; block_time=2026-03-31T23:59:54Z
3635,CRO,2026-04-30,13940604101.2018,43561913948.7015,0.320018,cosmos_lcd_pool@29453435,basecro / 10^8; block_time=2026-04-30T23:59:54Z
3635,CRO,2026-05-31,14147571306.2097,44810644504.0526,0.315719,cosmos_lcd_pool@29981181,basecro / 10^8; block_time=2026-05-31T23:59:55Z
4846,KAVA,2024-04-30,137365063.5368,1082860352.0,0.126854,cosmos_lcd_pool@9650114,ukava / 10^6; block_time=2024-04-30T23:59:55Z
4846,KAVA,2024-05-31,137754240.8309,1082856247.0,0.127214,cosmos_lcd_pool@10082629,ukava / 10^6; block_time=2024-05-31T23:59:56Z
4846,KAVA,2024-06-30,136537148.9288,1082856222.0,0.12609,cosmos_lcd_pool@10537974,ukava / 10^6; block_time=2024-06-30T23:59:56Z
4846,KAVA,2024-07-31,135795075.1833,1082854976.0,0.125405,cosmos_lcd_pool@11016736,ukava / 10^6; block_time=2024-07-31T23:59:56Z
4846,KAVA,2024-08-31,138017871.7036,1082854759.0,0.127457,cosmos_lcd_pool@11493541,ukava / 10^6; block_time=2024-08-31T23:59:58Z
4846,KAVA,2024-09-30,136791260.2256,1082854731.0,0.126325,cosmos_lcd_pool@11953899,ukava / 10^6; block_time=2024-09-30T23:59:56Z
