cmc_id,symbol,name,chain,chainid,address,etherscan_reachable,getlogs_free_tier,contract,ch1_lock_stake,ch1_event,ch2_holding,ch3_voting,ch3_event
314,OC,OrangeCoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
329,SYNC,Sync,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
399,MIN,Mineralscoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
473,APEX,ApexCoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
603,DEX,InstantDEX,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
659,BITS,Bitswift,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
661,ARCH,ARCHcoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
671,GAIA,GAIA,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
703,RBT,Rimbit,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
769,XUSD,CoinoUSD,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
785,GP,GoldPieces,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
788,COVAL,Circuits of Value,Ethereum,1,0x3d658390460295fb963f54dc0899cfb1c30776df,yes,yes,AdminUpgradeabilityProxy->impl:CircuitsOfValue,-,,Transfer-log (free),-,
793,CELL,SolarFarm,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
810,LQD,LIQUID,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
814,DOT,Dotcoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
873,XEM,NEM,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
888,JAY,Jay,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
963,CORE,CORE,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1062,FLY,Flycoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1080,NEU,NeuCoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1091,PLS,PLAY,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1104,REP,Augur,Ethereum,1,0x1985365e9f78359a9B6AD760e32412f4a445E862,yes,yes,Delegator->impl:ReputationToken,-,,Transfer-log (free),-,
1121,BST,BitStone,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1125,AMP,HyperSpace,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
