cmc_id,symbol,dl_slug,dl_category,tvl_present,tvl_start,tvl_end,tvl_last_usd,tvl_status,fees_present,fees_start,fees_end,fees_30d,fees_status,rev_present,rev_start,rev_end,rev_30d,dex_present,dex_start,dex_end,dex_30d,dex_status,deriv_present,deriv_status,opt_present,opt_status,opt_start,opt_end,bridge_vol,apy_present,apy_npools,apy_tvl_usd,apy_wmean_pct
9543,BICO,hyphen,Bridge,Y,2022-03-23,2026-02-05,100361.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
3814,CELR,cbridge,Bridge,Y,2021-11-06,2026-06-25,12742117.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
30712,MERL,merlins-seal,Bridge,Y,2024-02-08,2026-06-25,355280091.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
5794,PNT,pnetwork,Bridge,Y,2021-09-13,2024-11-28,13099805.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
2539,REN,renvm,Bridge,Y,2020-10-25,2025-06-10,,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
29587,W,portal,Bridge,Y,2021-09-12,2026-06-25,2034972035.0,200,Y,2025-05-04,2026-06-23,15317.0,200,Y,2025-05-04,2026-06-23,,N,,,,400,,,,,,,paywalled_402,N,0,,
2933,BMX,bitmart,CEX,Y,2023-09-28,2026-06-25,14613541.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
6756,ACA,acala,Canonical Bridge,N,,,,200,Y,2024-12-31,2026-06-23,,200,Y,2026-04-19,2026-06-23,,N,,,,400,,,,,,,paywalled_402,N,0,,
11841,ARB,arbitrum,Canonical Bridge,N,,,,200,Y,2021-08-09,2026-06-23,397486.0,200,Y,2021-08-09,2026-06-23,394993.0,N,,,,400,,,,,,,paywalled_402,N,0,,
5601,STAKE,xdai-stake-bridge,Canonical Bridge,Y,2020-10-30,2026-06-25,236837641.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
28298,BEAM,beam,Chain,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
22974,TAO,bittensor,Chain,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
13502,WLD,worldcoin,Chain,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
24091,ZK,zksync-era,Chain,N,,,,200,Y,2023-02-14,2026-06-23,13134.0,200,Y,2023-02-14,2026-06-23,12867.0,N,,,,400,,,,,,,,N,0,,
8202,ZKB,zkswap,Chain,Y,2021-02-12,2026-06-25,125928.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
29779,ZKJ,polyhedra-network,Chain,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
10052,GTC,gitcoin,Charity Fundraising,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5566,KEEP,keep-network,Cross Chain Bridge,Y,2020-10-29,2026-06-25,603689.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,paywalled_402,N,0,,
12147,SYN,synapse,Cross Chain Bridge,Y,2021-08-16,2026-06-25,11110630.0,200,Y,2021-08-20,2026-06-24,1417.0,200,Y,2021-08-20,2026-06-24,1391.0,N,,,,400,,,,,,,paywalled_402,Y,11,825465.0,0.0
38299,AVNT,avantis,Derivatives,Y,2024-02-05,2026-06-25,32621718.0,200,Y,2024-03-11,2026-06-23,618641.0,200,Y,2025-03-11,2026-06-23,,N,,,,400,N,402,,,,,,Y,1,31728859.0,10.13
7228,DDX,derivadex,Derivatives,Y,2021-03-19,2026-06-25,608249.0,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
13663,GNS,gains-network,Derivatives,Y,2021-12-12,2026-06-25,14754575.0,200,Y,2022-07-31,2026-06-23,496290.0,200,Y,2022-07-31,2026-06-23,368301.0,N,,,,400,N,402,,,,,,Y,9,12793843.0,2.54
