cohort,project,slug,month,pq_usd,tvl_usd,turnover
lending,aave,aave-v3,2022-03,29367501917.836056,41797769.0,702.6093167277912
lending,aave,aave-v3,2022-04,25108656080.46714,1366877860.0,18.369348729130152
lending,aave,aave-v3,2022-05,7854698722.158868,1125618467.0,6.978118210065638
lending,aave,aave-v3,2022-06,8592288961.370525,1032767722.0,8.31967225382604
lending,aave,aave-v3,2022-07,4295160219.656409,1207556950.0,3.5569007487857274
lending,aave,aave-v3,2022-08,8342036784.406818,1208775739.0,6.901227841740145
lending,aave,aave-v3,2022-09,5388383121.844758,1202751656.0,4.4800463129395665
lending,aave,aave-v3,2022-10,3322993546.9903736,1082337204.0,3.0702017215240933
lending,aave,aave-v3,2022-11,5923960116.907951,497191411.0,11.914848056190479
lending,aave,aave-v3,2022-12,2188284091.256306,440028549.0,4.973050262828075
lending,aave,aave-v3,2023-01,3660024970.034298,567809354.0,6.445869452926092
lending,aave,aave-v3,2023-02,2683099328.7174244,768843194.0,3.4897874490613288
lending,aave,aave-v3,2023-03,7799687654.798,1305947082.0,5.972437752112532
lending,aave,aave-v3,2023-04,2465729592.633321,1363897276.0,1.8078557938503579
lending,aave,aave-v3,2023-05,2008116285.49305,1528510830.0,1.3137730175539875
lending,aave,aave-v3,2023-06,2611662175.834756,1946329952.0,1.3418393798806194
lending,aave,aave-v3,2023-07,2232834701.6169114,1961389839.0,1.1383941413479055
lending,aave,aave-v3,2023-08,2824239736.5718007,2141034802.0,1.3191003406080088
lending,aave,aave-v3,2023-09,2226592610.052462,2486568772.0,0.8954478296056
lending,aave,aave-v3,2023-10,3213780709.407216,3024737240.0,1.0624991377456694
lending,aave,aave-v3,2023-11,3162640236.2040396,3424362871.0,0.9235704145105595
lending,aave,aave-v3,2023-12,4148644791.7395067,4272886710.0,0.9709231892411926
lending,aave,aave-v3,2024-01,4107112143.881556,4838536555.0,0.8488335465064097
lending,aave,aave-v3,2024-02,4407706088.999363,7263725332.0,0.606810677378097
lending,aave,aave-v3,2024-03,6959733688.439362,9217535269.0,0.7550536542936835
lending,aave,aave-v3,2024-04,5066568982.919141,8304282359.0,0.6101152109102003
lending,aave,aave-v3,2024-05,6791027173.257281,11037581096.0,0.6152640795290136
lending,aave,aave-v3,2024-06,5558309147.884702,10791543282.0,0.5150615628031451
lending,aave,aave-v3,2024-07,8249270582.753297,11489238636.0,0.7179997599584454
lending,aave,aave-v3,2024-08,7547353431.268423,10224893908.0,0.7381351336431317
lending,aave,aave-v3,2024-09,23351861910.538223,11508453138.0,2.029105182992163
lending,aave,aave-v3,2024-10,52413368105.71576,12503635216.0,4.1918503859298575
lending,aave,aave-v3,2024-11,27486760768.725163,19428098015.0,1.4147942195629881
lending,aave,aave-v3,2024-12,22705322825.945343,19745565564.0,1.1498947828236206
lending,aave,aave-v3,2025-01,19146915253.843025,21521987835.0,0.8896443674550114
lending,aave,aave-v3,2025-02,18463746743.089317,17709162549.0,1.0426098180533063
lending,aave,aave-v3,2025-03,10319606623.197987,16867944067.0,0.6117880508856436
lending,aave,aave-v3,2025-04,11430755022.91009,19408522188.0,0.5889554553503077
lending,aave,aave-v3,2025-05,17418697221.807095,24121589283.0,0.7221206288460912
lending,aave,aave-v3,2025-06,21976072246.10169,24706446674.0,0.8894873688666999
lending,aave,aave-v3,2025-07,40739556813.314804,33568198818.0,1.213635471899951
lending,aave,aave-v3,2025-08,42042808619.43092,38811422793.0,1.0832586283596317
lending,aave,aave-v3,2025-09,39633739518.962616,42990626099.0,0.9219158480663423
lending,aave,aave-v3,2025-10,40176213242.13773,36680879342.0,1.095290351890107
lending,aave,aave-v3,2025-11,18013710729.693295,30263664841.0,0.5952256881092948
lending,aave,aave-v3,2025-12,14970518558.057014,30480485247.0,0.49115092613331895
lending,aave,aave-v3,2026-01,18502528153.430344,28981321194.0,0.6384294225088993
lending,aave,aave-v3,2026-02,13161936617.188457,24145628463.0,0.5451064004135322
lending,aave,aave-v3,2026-03,13120971313.183802,23889789145.0,0.5492292641657722
lending,aave,aave-v3,2026-04,9694649988.121826,13599722206.0,0.7128564717185685
lending,aave,aave-v3,2026-05,4665525848.727383,13321699811.0,0.3502200105781518
lending,aave,aave-v3,2026-06,4676724385.134558,11550801773.0,0.4048830961731506
lending,agave,agave,2022-04,1510283.9960644841,1117632.0,1.3513249406463703
lending,agave,agave,2022-05,1730466.7774559753,1103882.0,1.567619344690805
lending,agave,agave,2022-06,2638628.83254302,3374939.0,0.7818300812379188
lending,agave,agave,2022-07,1567310.3844529649,7190574.0,0.2179673534342272
lending,agave,agave,2022-08,1111344.6652440333,7009267.0,0.15855362126225658
lending,agave,agave,2022-09,16546626.35371867,7486672.0,2.2101444211418197
lending,agave,agave,2022-10,2123029.6212554798,7802210.0,0.27210618802307035
lending,agave,agave,2022-11,657047.5235278682,6382860.0,0.10293936002479581
lending,agave,agave,2022-12,954199.2064354233,7973837.0,0.11966625433093545
lending,agave,agave,2023-01,490948.7548233007,8993345.0,0.05459022808791397
lending,agave,agave,2023-02,775028.0450976404,10345249.0,0.07491632585137781
