cohort,project,month,pq_usd,tvl_usd,turnover
LENDING,aave,2020-05,8616010.431782996,65027863.0,0.13249721018485563
LENDING,aave,2020-06,36145940.59929309,114489984.0,0.31571268801376623
LENDING,aave,2020-07,179460080.3349592,494082479.0,0.3632188712665506
LENDING,aave,2020-08,738056748.5912827,1538557410.0,0.47970699292350927
LENDING,aave,2020-09,1351645146.1913478,1470388342.0,0.9192436498461763
LENDING,aave,2020-10,512185057.79678315,987058133.0,0.5189006003527689
LENDING,aave,2020-11,795829151.3773441,1513693024.0,0.5257533322538085
LENDING,aave,2020-12,869035705.6337587,1736188234.0,0.5005423309611938
LENDING,aave,2021-01,1565493010.1186593,2965760613.0,0.5278554861294394
LENDING,aave,2021-02,1541661792.4047253,3362881551.0,0.45843475871051437
LENDING,aave,2021-03,2298618188.886728,4547898957.0,0.5054241993104879
LENDING,aave,2021-04,6923349085.2015915,8572635709.0,0.8076103219845325
LENDING,aave,2021-05,52276034194.9172,11782508382.0,4.436749162409142
LENDING,aave,2021-06,81979471433.30638,9482380791.0,8.645452364781159
LENDING,aave,2021-07,8415261405.2857895,11956713357.0,0.7038105835630086
LENDING,aave,2021-08,13887008513.710264,14286048509.0,0.9720678538198756
LENDING,aave,2021-09,11037398881.009619,12729392560.0,0.867079778472133
LENDING,aave,2021-10,16435142882.652836,13504038460.0,1.2170539154886884
LENDING,aave,2021-11,43074480983.79967,15754109746.0,2.734174236328166
LENDING,aave,2021-12,19658363493.875534,14209309257.0,1.383484808326706
LENDING,aave,2022-01,20337876202.779007,11812926680.0,1.7216627812659044
LENDING,aave,2022-02,73124503328.25897,12328112782.0,5.931524526205375
LENDING,aave,2022-03,29367501917.836056,13716861802.0,2.1409781874126703
LENDING,aave,2022-04,25108656080.46714,12322574965.0,2.0376143908057887
LENDING,aave,2022-05,7854698722.158868,9993645946.0,0.7859692813414852
LENDING,aave,2022-06,8592288961.370525,5786159922.0,1.4849726031078276
LENDING,aave,2022-07,4295160219.656409,6532977428.0,0.6574582978425085
LENDING,aave,2022-08,8342036784.406818,6186766216.0,1.3483678699274158
LENDING,aave,2022-09,5388383121.844758,5529978857.0,0.9743948867044933
LENDING,aave,2022-10,3322993546.9903736,5415696100.0,0.6135856749772893
LENDING,aave,2022-11,5923960116.907951,3858232492.0,1.535407762282655
LENDING,aave,2022-12,2188284091.256306,3683400154.0,0.594093500506572
LENDING,aave,2023-01,3660024970.034298,4578966134.0,0.799312522287001
LENDING,aave,2023-02,2683099328.7174244,4741484447.0,0.5658774923146815
LENDING,aave,2023-03,7799687654.798,5536758737.0,1.4087100459472306
LENDING,aave,2023-04,2465729592.633321,5289970370.0,0.4661140649514301
LENDING,aave,2023-05,2008116285.49305,5351958805.0,0.3752114615712275
LENDING,aave,2023-06,2611662175.834756,5821838094.0,0.4485975277337824
LENDING,aave,2023-07,2232834701.6169114,5239014730.0,0.42619362927748655
LENDING,aave,2023-08,2824239736.5718007,4524547664.0,0.6242037760024359
LENDING,aave,2023-09,2226592610.052462,4798743853.0,0.46399488663277527
LENDING,aave,2023-10,3213780709.407216,5504766439.0,0.5838178140744212
LENDING,aave,2023-11,3162640236.2040396,5793505995.0,0.5458940128712233
LENDING,aave,2023-12,4148644791.7395067,6628333284.0,0.6258956232261037
LENDING,aave,2024-01,4107112143.881556,6811753763.0,0.6029448930157336
