cmc_id,symbol,name,sector,peak_mcap,last_mcap,n_months,first_m,last_m,dl_chain,map_via,chain_dex_30d,mat_ratio,rung,rung_reason
38337,0G,0G,DePIN;Layer-1,541756801.166788,89224417.41049874,9,2025-09-30,2026-05-31,0G,cmcId,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1197,1CR,1CRedit,,367614.55651045,3937.89215233,12,2016-09-30,2017-09-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1252,2GIVE,2GIVE,,10991774.27712995,103262.52913734,37,2016-05-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
93,42,42-coin,,6591841.65502291,6591841.65502291,40,2015-09-30,2021-02-28,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
221,888,OctoCoin,,871977.44687578,359764.13098376,21,2016-03-31,2018-02-28,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3871,AB,AB,,774136739.6754093,129207214.1900992,57,2019-05-31,2026-05-31,AB,cmcId,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3437,ABBC,ABBC Coin,Payments,489510973.7301104,17077844.78130787,64,2019-02-28,2025-10-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
374,ABY,ArtByte,,17784761.35938612,595937.21937659,47,2015-08-31,2019-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
269,AC,AsiaCoin,Yield,11514512.47163895,6219264.96803551,30,2015-08-31,2018-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1918,ACT,Achain,Farm;Smart Contract Platform,168375125.1907564,12504166.3751445,46,2017-11-30,2021-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2010,ADA,Cardano,Chain;Layer-1;Smart Contract Platform,89122172068.61835,8522607534.635151,104,2017-10-31,2026-05-31,Cardano,cmcId,87572407.0,0.010275306781887256,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.0103>= 0.01)
948,ADC,AudioCoin,,8737187.41683912,384984.41437742,39,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1176,ADCN,Asiadigicoin,,1222854.93023183,42986.37226072,17,2016-07-31,2018-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
261,ADN,Aiden,,59293.27850368,19119.01331962,6,2016-03-31,2016-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1136,ADZ,Adzcoin,,4239648.89777622,48898.70530935,34,2015-12-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1700,AE,Æternity,Payments;Privacy;Smart Contract Platform,1045883416.1937188,10372899.21654678,78,2017-09-30,2024-08-31,Aeternity,cmcId,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
1026,AEON,Aeon,Privacy,84766451.04077463,11341269.10926863,70,2015-08-31,2021-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
911,AIB,Advanced Internet Blocks,,934112636.8827564,220884633.2805821,8,2020-05-31,2020-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2062,AION,Aion,AI/Big Data;Payments,492743953.84429497,12940335.45633338,63,2017-12-31,2023-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
9104,AIOZ,AIOZ Network,AI/Big Data;DePIN;Layer-1;Smart Contract Platform;Storage,1164363079.294037,84359665.7463295,31,2023-11-30,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
32193,ALEO,Aleo,Layer-1;Privacy;Smart Contract Platform;Zero Knowledge,525523343.63044935,45372919.72980701,21,2024-09-30,2026-05-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
4030,ALGO,Algorand,Layer-1;RWA;Smart Contract Platform,11400945922.975113,1134694053.031259,81,2019-08-31,2026-05-31,Algorand,cmcId,17264333.0,0.015214967377223396,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.0152>= 0.01)
1505,ALIAS,Alias,,83752992.82694758,1780509.62251595,45,2017-01-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
14878,ALPH,Alephium,NFT;Layer-1;Smart Contract Platform,258729143.5685548,12119978.74523204,23,2024-02-29,2026-01-31,Alephium,cmcId,429468.0,0.03543471560698498,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.0354>= 0.01)
29073,ALT,Altlayer,Derivatives;Developer Tools;Dexs;Launchpad;Interoperability;Layer-2;Privacy;Restaking;Zero Knowledge,677045376.111331,44059505.45919527,29,2024-01-31,2026-05-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
804,AMBER,AmberCoin,,1926739.70125747,375518.12442857,30,2015-08-31,2018-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1035,AMS,AmsterdamCoin,,704245.55672048,14779.96947984,24,2015-11-30,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
43,ANC,Anoncoin,Lending,6593055.18208398,95265.96010539,40,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2874,AOA,Aurora,Smart Contract Platform,231904847.2734292,10493453.71193005,43,2018-08-31,2022-02-28,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
21794,APT,Aptos,Canonical Bridge;Lending;Layer-1,7158514698.494192,773607496.498025,44,2022-10-31,2026-05-31,Aptos,cmcId,664748702.0,0.8592842042110397,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.8593>= 0.01)
5632,AR,Arweave,DePIN;Storage;Layer-1,2964020093.9106727,146184033.63553917,69,2020-08-31,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
1434,ARC,Advanced Technology Coin,DEX Aggregator;Dexs;Services,2850245.72049465,90533.58931057,19,2017-03-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1558,ARGUS,Argus,,124676.41644897,676.15763784,13,2017-02-28,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
142,ARI,Aricoin,Gaming,1078348.80233929,1078348.80233929,30,2015-08-31,2018-02-28,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1586,ARK,Ark,Payments,690015346.9721429,30469416.83608365,111,2017-03-31,2026-05-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3951,ARRR,Pirate Chain,Payments;Privacy;Zero Knowledge,1447469910.0396686,82686602.59570341,83,2019-06-30,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
12885,ASTR,Astar,Chain;Layer-1;Layer-2;Modular Blockchain;Smart Contract Platform,980172463.7643812,64981798.97039359,52,2022-02-28,2026-05-31,Astar,cmcId,256.0,3.939564678974745e-06,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1970,ATB,ATBCoin,,36685962.61057945,41255.00488129,21,2017-10-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
