cmc_id,symbol,month_end,fees_usd,revenue_usd,n_days_fees,n_days_rev,dl_fees_slug,source_notes
1552,MLN,2026-01-31 00:00:00,7403,7403,27,27,enzyme-finance,protocol_fees
1552,MLN,2026-02-28 00:00:00,7206,7206,28,28,enzyme-finance,protocol_fees
1552,MLN,2026-03-31 00:00:00,7430,7430,31,31,enzyme-finance,protocol_fees
1552,MLN,2026-04-30 00:00:00,19563,19563,30,30,enzyme-finance,protocol_fees
1552,MLN,2026-05-31 00:00:00,10551,10551,31,31,enzyme-finance,protocol_fees
1552,MLN,2026-06-30 00:00:00,6394,6394,30,30,enzyme-finance,protocol_fees
1552,MLN,2026-07-31 00:00:00,8549,8549,31,31,enzyme-finance,protocol_fees
1727,BNT,2020-12-31 00:00:00,396106.0,,18,,bancor,protocol_fees
1727,BNT,2021-01-31 00:00:00,840667.0,,31,,bancor,protocol_fees
1727,BNT,2021-02-28 00:00:00,3052813.0,,28,,bancor,protocol_fees
1727,BNT,2021-03-31 00:00:00,5226088.0,,31,,bancor,protocol_fees
1727,BNT,2021-04-30 00:00:00,6307283.0,,30,,bancor,protocol_fees
1727,BNT,2021-05-31 00:00:00,10359228.0,,31,,bancor,protocol_fees
1727,BNT,2021-06-30 00:00:00,3661177.0,,30,,bancor,protocol_fees
1727,BNT,2021-07-31 00:00:00,2260967.0,,30,,bancor,protocol_fees
1727,BNT,2021-08-31 00:00:00,3572358.0,,31,,bancor,protocol_fees
1727,BNT,2021-09-30 00:00:00,2591856.0,,30,,bancor,protocol_fees
1727,BNT,2021-10-31 00:00:00,2566013.0,,31,,bancor,protocol_fees
1727,BNT,2021-11-30 00:00:00,3273948.0,,30,,bancor,protocol_fees
1727,BNT,2021-12-31 00:00:00,2726996.0,,31,,bancor,protocol_fees
1727,BNT,2022-01-31 00:00:00,3138576.0,,31,,bancor,protocol_fees
1727,BNT,2022-02-28 00:00:00,1621903.0,,28,,bancor,protocol_fees
1727,BNT,2022-03-31 00:00:00,1633609.0,,31,,bancor,protocol_fees
1727,BNT,2022-04-30 00:00:00,1655471.0,,30,,bancor,protocol_fees
1727,BNT,2022-05-31 00:00:00,1722311.0,,31,,bancor,protocol_fees
1727,BNT,2022-06-30 00:00:00,1606883.0,,30,,bancor,protocol_fees
1727,BNT,2022-07-31 00:00:00,511613.0,,31,,bancor,protocol_fees
1727,BNT,2022-08-31 00:00:00,314396.0,,31,,bancor,protocol_fees
1727,BNT,2022-09-30 00:00:00,305983.0,,30,,bancor,protocol_fees
1727,BNT,2022-10-31 00:00:00,186137.0,,31,,bancor,protocol_fees
1727,BNT,2022-11-30 00:00:00,308711.0,,30,,bancor,protocol_fees
1727,BNT,2022-12-31 00:00:00,101947.0,,31,,bancor,protocol_fees
1727,BNT,2023-01-31 00:00:00,148774.0,,31,,bancor,protocol_fees
1727,BNT,2023-02-28 00:00:00,152505.0,,28,,bancor,protocol_fees
1727,BNT,2023-03-31 00:00:00,180530.0,,31,,bancor,protocol_fees
1727,BNT,2023-04-30 00:00:00,129632.0,,30,,bancor,protocol_fees
1727,BNT,2023-05-31 00:00:00,61911.0,,31,,bancor,protocol_fees
1727,BNT,2023-06-30 00:00:00,57047.0,,30,,bancor,protocol_fees
1727,BNT,2023-07-31 00:00:00,52553.0,,31,,bancor,protocol_fees
1727,BNT,2023-08-31 00:00:00,627397.0,,31,,bancor,protocol_fees
1727,BNT,2023-09-30 00:00:00,88871.0,,30,,bancor,protocol_fees
1727,BNT,2023-10-31 00:00:00,524357.0,,31,,bancor,protocol_fees
1727,BNT,2023-11-30 00:00:00,711160.0,,30,,bancor,protocol_fees
1727,BNT,2023-12-31 00:00:00,127079.0,,31,,bancor,protocol_fees
1727,BNT,2024-01-31 00:00:00,114940.0,,31,,bancor,protocol_fees
1727,BNT,2024-02-29 00:00:00,96894.0,,29,,bancor,protocol_fees
1727,BNT,2024-03-31 00:00:00,151483.0,,31,,bancor,protocol_fees
1727,BNT,2024-04-30 00:00:00,199236.0,,30,,bancor,protocol_fees
1727,BNT,2024-05-31 00:00:00,48494.0,,31,,bancor,protocol_fees
1727,BNT,2024-06-30 00:00:00,39413.0,,30,,bancor,protocol_fees
1727,BNT,2024-07-31 00:00:00,33488.0,,31,,bancor,protocol_fees
1727,BNT,2024-08-31 00:00:00,38847.0,,31,,bancor,protocol_fees
1727,BNT,2024-09-30 00:00:00,18161.0,,30,,bancor,protocol_fees
1727,BNT,2024-10-31 00:00:00,22542.0,,31,,bancor,protocol_fees
1727,BNT,2024-11-30 00:00:00,68879.0,,30,,bancor,protocol_fees
1727,BNT,2024-12-31 00:00:00,116407.0,,31,,bancor,protocol_fees
1727,BNT,2025-01-31 00:00:00,120571.0,,31,,bancor,protocol_fees
1727,BNT,2025-02-28 00:00:00,99337.0,,28,,bancor,protocol_fees
1727,BNT,2025-03-31 00:00:00,85267.0,,31,,bancor,protocol_fees
1727,BNT,2025-04-30 00:00:00,53051.0,,30,,bancor,protocol_fees
1727,BNT,2025-05-31 00:00:00,95760.0,,31,,bancor,protocol_fees
1727,BNT,2025-06-30 00:00:00,55333.0,,30,,bancor,protocol_fees
1727,BNT,2025-07-31 00:00:00,62783.0,,31,,bancor,protocol_fees
1727,BNT,2025-08-31 00:00:00,105835.0,,31,,bancor,protocol_fees
1727,BNT,2025-09-30 00:00:00,43640.0,,30,,bancor,protocol_fees
1727,BNT,2025-10-31 00:00:00,127955.0,,31,,bancor,protocol_fees
1727,BNT,2025-11-30 00:00:00,58903.0,,30,,bancor,protocol_fees
1727,BNT,2025-12-31 00:00:00,39121.0,,31,,bancor,protocol_fees
1727,BNT,2026-01-31 00:00:00,22195.0,,31,,bancor,protocol_fees
1727,BNT,2026-02-28 00:00:00,26940.0,,9,,bancor,protocol_fees
1727,BNT,2026-03-31 00:00:00,17170.0,1602.0,27,27.0,bancor,protocol_fees
1727,BNT,2026-04-30 00:00:00,25394.0,2603.0,30,30.0,bancor,protocol_fees
1727,BNT,2026-05-31 00:00:00,30288.0,2538.0,31,31.0,bancor,protocol_fees
1727,BNT,2026-06-30 00:00:00,27680.0,2644.0,30,30.0,bancor,protocol_fees
1727,BNT,2026-07-31 00:00:00,17948.58,1235.88,31,31.0,bancor,protocol_fees
2586,SNX,2021-11-30 00:00:00,32859,32859,19,19,synthetix,protocol_fees
2586,SNX,2021-12-31 00:00:00,70718,70718,31,31,synthetix,protocol_fees
2586,SNX,2022-01-31 00:00:00,182471,182471,31,31,synthetix,protocol_fees
2586,SNX,2022-02-28 00:00:00,133777,133777,28,28,synthetix,protocol_fees
2586,SNX,2022-03-31 00:00:00,212932,212932,31,31,synthetix,protocol_fees
2586,SNX,2022-04-30 00:00:00,72427,72427,30,30,synthetix,protocol_fees
2586,SNX,2022-05-31 00:00:00,110419,110419,31,31,synthetix,protocol_fees
2586,SNX,2022-06-30 00:00:00,9876828,9876828,30,30,synthetix,protocol_fees
2586,SNX,2022-07-31 00:00:00,5352205,5352205,31,31,synthetix,protocol_fees
2586,SNX,2022-08-31 00:00:00,5440202,5440202,31,31,synthetix,protocol_fees
2586,SNX,2022-09-30 00:00:00,2736077,2736077,30,30,synthetix,protocol_fees
2586,SNX,2022-10-31 00:00:00,412066,412066,31,31,synthetix,protocol_fees
2586,SNX,2022-11-30 00:00:00,352025,352025,30,30,synthetix,protocol_fees
2586,SNX,2022-12-31 00:00:00,419543,419543,31,31,synthetix,protocol_fees
2586,SNX,2023-01-31 00:00:00,915177,915177,31,31,synthetix,protocol_fees
2586,SNX,2023-02-28 00:00:00,557912,557912,28,28,synthetix,protocol_fees
2586,SNX,2023-03-31 00:00:00,4758606,4758606,31,31,synthetix,protocol_fees
2586,SNX,2023-04-30 00:00:00,3575621,3575621,30,30,synthetix,protocol_fees
2586,SNX,2023-05-31 00:00:00,3100919,3100919,31,31,synthetix,protocol_fees
2586,SNX,2023-06-30 00:00:00,2282724,2282724,30,30,synthetix,protocol_fees
2586,SNX,2023-07-31 00:00:00,3433735,3433735,31,31,synthetix,protocol_fees
2586,SNX,2023-08-31 00:00:00,3921067,3921067,31,31,synthetix,protocol_fees
2586,SNX,2023-09-30 00:00:00,1171411,1171411,30,30,synthetix,protocol_fees
2586,SNX,2023-10-31 00:00:00,2951172,2951172,31,31,synthetix,protocol_fees
2586,SNX,2023-11-30 00:00:00,3206493,3206493,30,30,synthetix,protocol_fees
2586,SNX,2023-12-31 00:00:00,3925239,3925239,31,31,synthetix,protocol_fees
2586,SNX,2024-01-31 00:00:00,2974673,2974279,31,31,synthetix,protocol_fees
2586,SNX,2024-02-29 00:00:00,1579826,1574534,29,29,synthetix,protocol_fees
2586,SNX,2024-03-31 00:00:00,5233135,5154362,31,31,synthetix,protocol_fees
