month_end,aa_avg,cmc_id,ticker,market_cap,price,metcalfe,r_fwd1
2015-08-31,251832.51612903227,1,btc,3349842524.063117,230.05580139,-2.9408598800662027,0.026096812659039514
2015-09-30,266246.7586206897,1,btc,3463618782.685092,236.05952454,-3.0187778730715316,0.3308741850268575
2015-10-31,299370.3548387097,1,btc,4645479257.312012,314.16552734,-2.959713080739647,0.20102479210474167
2015-11-30,346332.3333333333,1,btc,5623189844.389341,377.32058716,-3.060143260230209,0.14111826383706205
2015-12-31,395361.22580645164,1,btc,6471223702.829741,430.56741333,-3.1844791809190944,-0.14353284925126042
2016-01-31,400520.5806451613,1,btc,5587251013.446045,368.7668457,-3.357287628556616,0.18692108212481862
2016-02-29,445367.2413793103,1,btc,6681446896.362312,437.69714355,-3.390708562375572,-0.047904543561648416
2016-03-31,408072.03225806454,1,btc,6409069919.279482,416.72946167,-3.2574179759558604,0.07580222346989895
2016-04-30,410286.63333333336,1,btc,6944867972.18322,448.31848145,-3.1879537977347603,0.18528749870255878
2016-05-31,415982.70967741933,1,btc,8293040304.383846,531.3862915,-3.038115467756011,0.26713298393396734
2016-06-30,457615.9666666667,1,btc,10583529326.713566,673.33709717,-2.9850064287552236,-0.07226144414810931
2016-07-31,392774.7419354839,1,btc,9861863056.633291,624.68078613,-2.7500421628844407,-0.07877392457490984
2016-08-31,436745.06451612903,1,btc,9117109844.77441,575.472229,-3.0407911670853984,0.05953786892468793
2016-09-30,439182.76666666666,1,btc,9693192695.387695,609.73461914,-2.990652168688804,0.14963525131422983
2016-10-31,485443.6451612903,1,btc,11181858644.06543,700.97241211,-3.0480784301077577,0.06379478424178342
2016-11-30,538000.9,1,btc,11943533361.22596,745.6907959,-3.1877751964758296,0.2924165194594164
2016-12-31,556473.8387096775,1,btc,15492555878.405766,963.74310303,-2.995125396777947,0.006909957445156101
2017-01-31,554623.1290322581,1,btc,15659178880.128485,970.40252686,-2.977765138651087,0.21596357019815837
2017-02-28,585732.4285714285,1,btc,19103751521.154785,1179.97412109,-2.8880861480661935,-0.09168612592966185
2017-03-31,590542.6774193548,1,btc,17414271874.412434,1071.78686523,-2.9970384411013598,0.25761320116639874
2017-04-30,594718.3333333334,1,btc,21975158881.89144,1347.89331055,-2.7785078555641007,0.6962858526147317
2017-05-31,676929.8709677419,1,btc,37414851752.9296,2286.41235352,-2.5053123489522413,0.08503744469394059
2017-06-30,630775.3666666667,1,btc,40735132243.25553,2480.84301758,-2.2790534076038007,0.15901665624728656
2017-07-31,573694.7096774194,1,btc,47388308055.83496,2875.33837891,-1.9380639685442702,0.6357701106166815
2017-08-31,584867.3870967742,1,btc,77775417256.68945,4703.39257813,-1.4811895789493263,-0.07753555964809378
2017-09-30,582925.8333333334,1,btc,72008468660.3374,4338.71240234,-1.5515809140483938,0.4908580465926693
2017-10-31,684787.4814814815,1,btc,107743802863.57616,6468.40429688,-1.4707055959422135,0.582087116369042
2017-11-30,777674.3913043478,1,btc,171019736353.1494,10233.57910156,-1.2630815867054253,0.3833323870132592
2017-12-31,935469.7419354839,1,btc,237466518547.0703,14156.44140625,-1.3043156838619225,-0.27798768725257306
2018-01-31,869999.9677419355,1,btc,172099980884.375,10221.125,-1.4811554780139389,0.017298540706624843
2018-02-28,666511.6785714285,1,btc,175644911465.31445,10397.93554688,-0.9278956358707333,-0.32933492469546277
2018-03-31,553028.5806451613,1,btc,118204683668.042,6973.53222656,-0.9506463580687026,0.3250895510750811
2018-04-30,484660.3333333333,1,btc,157163927039.39062,9240.5546875,-0.40185194299442983,-0.18899144058444817
2018-05-31,496172.1612903226,1,btc,127902981389.64844,7494.16894531,-0.6548186341379854,-0.1454689577010736
2018-06-30,475698.9,1,btc,109665618200.0,6404.0,-0.7243790015602443,0.21493494056527185
2018-07-31,518350.67741935485,1,btc,133688533943.20116,7780.44335938,-0.6980359934638862,-0.09547827121630725
2018-08-31,521004.0967741936,1,btc,121346614585.04295,7037.58007813,-0.8051094971991972,-0.05854618106306242
2018-09-30,530315.2,1,btc,114608461359.46288,6625.55664063,-0.8976661791170777,-0.04647899572113812
2018-10-31,562636.0322580645,1,btc,109627072489.01369,6317.60742188,-1.0604262451785047,-0.3641155284187416
2018-11-30,559967.4,1,btc,69904637061.27803,4017.26845712,-1.5008698709744976,-0.06834696874523527
2018-12-31,521142.48387096776,1,btc,65331499157.74403,3742.70033544,-1.4248173967302762,-0.07612353719644116
