portfolio,mean,sd,sharpe,n,start,end
q5_ew,0.022806390572998506,0.07829805770729378,0.8615366844446029,50,2022-03-31,2026-04-30
q5_ew_turnover,0.1875180941507472,0.16362362127668248,,49,,
q5_ew_legsize,10.56,10.7,,1,,
q5_vw,0.036949937401319424,0.12716338734670085,0.9157614851031117,50,2022-03-31,2026-04-30
q5_vw_turnover,0.3470086438183932,0.28195505874439325,,49,,
q5_vw_legsize,10.56,10.7,,1,,
d10_ew,0.007545683636354229,0.10645204017514295,0.1370759025774689,46,2022-07-31,2026-04-30
d10_ew_turnover,0.17582010582010582,0.19328042328042325,,45,,
d10_ew_legsize,5.8478260869565215,5.934782608695652,,1,,
t3_ew,0.007989247929451658,0.07735074033010356,0.2085120478941296,50,2022-03-31,2026-04-30
t3_ew_turnover,0.17905926133006436,0.1468949345165621,,49,,
t3_ew_legsize,17.32,17.6,,0,,
t3_vw,0.022287779440061852,0.14063370509831807,0.46688755961066586,50,2022-03-31,2026-04-30
t3_vw_turnover,0.3097069132673536,0.28983740689244747,,49,,
t3_vw_legsize,17.32,17.6,,0,,
q5_ew_secneutral,0.00880184594400074,0.07773875012683716,0.2436813472831284,50,2022-03-31,2026-04-30
q5_ew_secneutral_turnover,0.1940805792846609,0.16891951585829135,,49,,
q5_ew_secneutral_legsize,10.56,10.7,,1,,
t3_ew_DEX,0.00975346017314886,0.09887628552983042,0.2249272576940054,51,2022-02-28,2026-04-30
t3_ew_DEX_turnover,0.18893650793650793,0.1588066378066378,,50,,
t3_ew_DEX_legsize,8.0,8.372549019607844,,2,,
t3_ew_Other,-0.034639134518882134,0.21598391212816181,-0.609029098146772,36,2023-05-31,2026-04-30
t3_ew_Other_turnover,0.16047619047619047,0.14714285714285713,,35,,
t3_ew_Other_legsize,3.7777777777777777,4.055555555555555,,14,,
t3_ew_Lending,0.007719297696216492,0.12444641208727916,0.12208810184695766,34,2023-07-31,2026-04-30
t3_ew_Lending_turnover,0.12373737373737373,0.17676767676767677,,33,,
t3_ew_Lending_legsize,3.2941176470588234,3.5294117647058822,,24,,
coin_t3_ew,0.011126381690991071,0.11279469693573155,0.23933670762899964,40,2023-01-31,2026-04-30
coin_t3_ew_turnover,0.09352869352869352,0.10201465201465201,,39,,
coin_t3_ew_legsize,5.15,5.4,,3,,
rev_ls,-0.04523742643685804,0.11914114207700237,-1.412224563531909,50,2022-03-31,2026-04-30
mom3_ls,0.00590899371535201,0.09586829822491949,0.09306881893808355,50,2022-03-31,2026-04-30
high52_ls,-0.025938104480292854,0.11938046424798122,-0.8493787961567713,47,2022-03-31,2026-04-30
size_ls,-0.002536807550672063,0.10613378812268306,-0.19159557834554744,50,2022-03-31,2026-04-30
