month_end,n_pf,n_prev,n_tot
2021-01-31,0,0,1
2021-02-28,0,0,1
2021-03-31,0,0,1
2021-04-30,0,0,1
2021-05-31,0,0,1
2021-06-30,0,0,1
2021-07-31,1,1,3
2021-08-31,2,1,5
2021-09-30,4,1,7
2021-10-31,5,1,8
2021-11-30,5,1,8
2021-12-31,5,2,8
2022-01-31,5,2,9
2022-02-28,6,3,10
2022-03-31,6,3,15
2022-04-30,8,4,18
2022-05-31,9,5,20
2022-06-30,9,5,21
2022-07-31,10,5,24
2022-08-31,10,5,32
2022-09-30,10,7,37
2022-10-31,11,8,38
2022-11-30,11,8,41
2022-12-31,14,9,46
2023-01-31,14,9,44
2023-02-28,14,10,44
2023-03-31,17,12,46
2023-04-30,18,13,49
2023-05-31,20,13,53
2023-06-30,21,13,54
2023-07-31,22,14,55
2023-08-31,23,15,56
2023-09-30,23,15,55
2023-10-31,24,17,58
2023-11-30,25,17,60
2023-12-31,25,17,60
2024-01-31,26,17,61
2024-02-29,28,19,62
2024-03-31,28,20,62
2024-04-30,30,21,62
2024-05-31,30,23,63
2024-06-30,31,25,64
2024-07-31,31,25,66
2024-08-31,32,25,67
2024-09-30,33,25,66
2024-10-31,32,25,63
2024-11-30,32,25,59
2024-12-31,31,25,60
2025-01-31,31,25,64
2025-02-28,34,25,65
2025-03-31,32,25,61
2025-04-30,34,27,66
2025-05-31,36,28,64
2025-06-30,37,29,66
2025-07-31,39,29,66
2025-08-31,38,28,65
2025-09-30,39,29,64
2025-10-31,39,27,62
2025-11-30,38,27,59
2025-12-31,39,28,61
2026-01-31,39,28,59
2026-02-28,36,26,51
2026-03-31,37,27,51
2026-04-30,40,29,52
2026-05-31,38,28,50
