cmc_id,symbol,slug,chain_level,fees_status,rev_status,fees_months,rev_months,fees_start,rev_start
1104,REP,augur,False,400,400,0,0,,
1552,MLN,enzyme-finance,False,200,200,7,7,2026-01-31,2026-01-31
1556,TIME,timewarp,False,400,400,0,0,,
1727,BNT,bancor,False,200,200,68,5,2020-12-31,2026-03-31
1732,NMR,erasure,False,400,400,0,0,,
1934,LRC,loopring,False,400,400,0,0,,
2539,REN,renvm,False,400,400,0,0,,
2586,SNX,synthetix,False,200,200,57,57,2021-11-30,2021-11-30
2873,MET,metronome-v1,False,400,400,0,0,,
3814,CELR,cbridge,False,400,400,0,0,,
3928,IDEX,idex-v1,False,400,400,0,0,,
3930,TT,thundercore-staking,False,400,400,0,0,,
4090,WXT,nereus-finance,False,400,400,0,0,,
4279,SXP,swipe,False,400,400,0,0,,
5354,PEAK,peakdefi,False,400,400,0,0,,
5566,KEEP,keep-network,False,400,400,0,0,,
5601,STAKE,xdai-stake-bridge,False,400,400,0,0,,
5631,ORN,dedust,False,200,200,24,24,2024-08-31,2024-08-31
5692,COMP,compound-finance,False,200,200,87,87,2019-05-31,2019-05-31
5728,BAL,balancer,False,200,200,77,64,2020-03-31,2021-04-30
5794,PNT,pnetwork,False,400,400,0,0,,
5810,BZRX,ooki,False,400,400,0,0,,
5829,SWAP,team-finance,False,400,400,0,0,,
5864,YFI,yearn,False,200,200,73,73,2020-07-31,2020-07-31
5906,NVT,nerve-staking,False,400,400,0,0,,
5957,YFII,yfii,False,400,400,0,0,,
6538,CRV,curve-finance,False,200,200,69,69,2020-11-30,2020-11-30
6758,SUSHI,sushiswap,False,200,200,71,71,2020-09-30,2020-09-30
6859,FARM,harvest-finance,False,400,400,0,0,,
6929,HEGIC,hegic,False,200,200,46,46,2022-10-31,2022-10-31
6945,AMP,flexa,False,400,400,0,0,,
6950,PERP,perpetual-protocol,False,200,200,43,43,2023-01-31,2023-01-31
6953,FRAX,frax-finance,False,200,200,56,56,2021-12-31,2021-12-31
7064,BAKE,bakeryswap,False,400,400,0,0,,
7083,UNI,uniswap,False,200,200,93,41,2018-11-30,2021-03-31
7102,LINA,linear-finance,False,400,400,0,0,,
7186,CAKE,pancakeswap,False,200,200,64,64,2021-04-30,2021-04-30
7224,DODO,dodo-amm,False,200,200,44,44,2022-12-31,2022-12-31
7228,DDX,derivadex,False,400,400,0,0,,
7232,ALPHA,stella,False,400,400,0,0,,
7242,CORE,cvault-finance,False,400,400,0,0,,
7278,AAVE,aave-v2,False,200,200,68,68,2020-12-31,2020-12-31
7288,XVS,venus,False,200,200,36,36,2023-08-31,2023-08-31
7429,LQTY,liquity,False,200,200,64,64,2021-04-30,2021-04-30
7486,RGT,rari-capital,False,400,400,0,0,,
7501,WOO,woofi-swap,False,200,200,58,58,2021-10-31,2021-10-31
7535,KP3R,keep3r-network,False,400,400,0,0,,
7725,TRU,truefi,False,400,400,0,0,,
7726,ICHI,ichi,False,400,400,0,0,,
7857,MIR,mirror,False,400,400,0,0,,
7859,BADGER,badger-dao,False,200,200,18,18,2025-02-28,2025-02-28
8000,LDO,lido,False,200,200,64,64,2021-04-30,2021-04-30
8083,LON,tokenlon-amm,False,200,200,68,68,2020-12-31,2020-12-31
8104,1INCH,1inch,False,200,200,1,1,2026-07-31,2026-07-31
8191,NFTX,nftx,False,400,400,0,0,,
8202,ZKB,zkswap,False,400,400,0,0,,
8290,SUPER,superfarm,False,400,400,0,0,,
8335,MDX,mdex,False,400,400,0,0,,
8602,AUCTION,bounce-finance,False,400,400,0,0,,
8613,ALCX,alchemix,False,200,200,44,44,2022-12-31,2022-12-31
8615,EPIC,ethernity-chain,False,400,400,0,0,,
8719,ILV,illuvium,False,200,200,25,25,2024-07-31,2024-07-31
8857,ANC,anchor,False,400,400,0,0,,
8891,BTCST,btcst,False,400,400,0,0,,
8911,STRK,strike,False,200,200,23,23,2024-09-30,2024-09-30
8938,EPS,ellipsis-finance,False,400,400,0,0,,
9119,TLM,alien-worlds,False,400,400,0,0,,
9444,KNC,kyberswap-classic,False,200,200,44,44,2021-04-30,2021-04-30
9481,PENDLE,pendle,False,200,200,37,37,2023-07-31,2023-07-31
9543,BICO,hyphen,False,400,400,0,0,,
9640,METIS,metis,True,200,400,23,0,2024-09-30,
9903,CVX,convex-finance,False,200,200,63,63,2021-05-31,2021-05-31
10804,FLOKI,flokifi-locker,False,400,400,0,0,,
11156,ETHDYDX,dydx-v3,False,200,200,11,11,2023-11-30,2023-11-30
11289,SPELL,abracadabra-spell,False,200,200,52,52,2021-09-30,2021-09-30
11841,ARB,arbitrum,True,200,200,60,60,2021-08-31,2021-08-31
11857,GMX,gmx,False,200,200,59,59,2021-09-30,2021-09-30
11865,BONE,shibaswap,False,200,200,58,22,2021-07-31,2024-10-31
12147,SYN,synapse,False,200,200,60,60,2021-08-31,2021-08-31
12220,OSMO,osmosis-dex,False,200,200,52,52,2022-04-30,2022-04-30
12387,RBN,ribbon,False,200,400,10,0,2024-06-30,
12573,CPOOL,clearpool-lending,False,200,200,9,9,2025-11-30,2025-11-30
13663,GNS,gains-network,False,200,200,48,48,2022-08-31,2022-08-31
14519,VVS,vvs-finance,False,200,200,46,46,2022-10-31,2022-10-31
14803,AURORA,aurora-plus,False,400,400,0,0,,
17751,T,threshold-network,False,200,200,23,23,2024-09-30,2024-09-30
17799,AXL,axelar,False,200,200,20,20,2024-12-31,2024-12-31
18037,MAV,maverick-v1,False,200,400,42,0,2023-02-28,
18876,APE,apechain,True,200,400,23,0,2024-09-30,
18934,STG,stargate-finance,False,200,200,47,47,2022-09-30,2022-09-30
21159,ONDO,ondo-finance,False,200,200,16,16,2025-04-30,2025-04-30
22461,HFT,hashflow,False,400,400,0,0,,
28480,BLAST,blast,True,200,200,30,28,2024-02-29,2024-04-30
29270,AERO,aerodrome,False,200,200,36,36,2023-08-31,2023-08-31
29587,W,portal,False,200,200,15,15,2025-05-31,2025-05-31
29676,AEVO,aevo-perps,False,400,400,0,0,,
30171,ENA,ethena,False,200,200,33,33,2023-11-30,2023-11-30
30494,EIGEN,eigencloud,False,200,200,23,13,2024-09-30,2024-09-30
33038,SKY,sky-lending,False,200,200,81,81,2019-11-30,2019-11-30
33824,SYRUP,maple,False,200,200,38,38,2023-06-30,2023-06-30
34104,MORPHO,morpho-blue,False,200,200,30,30,2024-02-29,2024-02-29
