var,mean_coef,nw_se,nw_t,n_months,spec
const,-0.025096713520181148,0.028801304331765837,-0.871374199969868,52,fm_s2
conv_std,0.00697793559727817,0.0039514269665270494,1.7659280195202878,52,fm_s2
size_std,-0.0015071117841126617,0.0060198667270631966,-0.25035633718221983,52,fm_s2
mom_3m_std,-0.0012621933771224383,0.005242194806043554,-0.24077574829292828,52,fm_s2
mom_12_2_std,-0.0016118757383216467,0.005140680794184714,-0.3135529714556574,52,fm_s2
r_1m_std,-0.02134522868051849,0.006304200554921225,-3.3858739890271803,52,fm_s2
beta36_std,-0.0006735347569862135,0.006025614541357047,-0.11177859990269551,52,fm_s2
const,-0.02927762478749158,0.031158195730364827,-0.9396444210330007,50,fm_s4
conv_std,0.008031427522829348,0.003660427551376994,2.194122793062262,50,fm_s4
size_std,0.0019692233631406503,0.004707689144935393,0.4182993614306871,50,fm_s4
mom_3m_std,-0.0003990889461807476,0.005173067357353967,-0.07714744823753518,50,fm_s4
mom_12_2_std,-0.002712814555758265,0.005378230855859585,-0.5044064913655857,50,fm_s4
r_1m_std,-0.01780997842617522,0.004493637504259176,-3.9633767541984644,50,fm_s4
beta36_std,0.0022324134611258943,0.007518018859883406,0.2969417213141327,50,fm_s4
val_std,0.0014036484820044816,0.006905410571593431,0.20326792555661022,50,fm_s4
conv_x_val,0.0024419194140776097,0.004345321190363869,0.5619652281384355,50,fm_s4
