portfolio,mean,sd,sharpe,n,start,end
sma_coin_ew,-0.017961961856644816,0.1565130194042043,-0.47132862648266666,20,2023-05-31,2026-04-30
star_coin_ew,-0.0004915598919103589,0.3137879506826891,-0.04222539065145521,20,2023-05-31,2026-04-30
avoid_coin_ew,0.017470401964734466,0.32154604745186177,0.15230242345517092,20,2023-05-31,2026-04-30
convonly_coin_ew,0.010751803025975832,0.08738544697205237,0.2940802357210831,40,2023-01-31,2026-04-30
valonly_coin_ew,-0.015852164436217724,0.11556483542305751,-0.5750928781010782,40,2023-01-31,2026-04-30
sma_coin_vw,0.05281702509133561,0.22727608444589184,0.754221619752887,20,2023-05-31,2026-04-30
star_coin_vw,0.024458481288575487,0.2910935728159634,0.25139565413230325,20,2023-05-31,2026-04-30
avoid_coin_vw,-0.02835854380276013,0.12766497734681487,-0.8599373536537711,20,2023-05-31,2026-04-30
sma_token_ew,0.01425648377732569,0.10397226477705268,0.3639326620090891,49,2022-04-30,2026-04-30
star_token_ew,-0.010599611089451812,0.23547735842066586,-0.20496720195226528,49,2022-04-30,2026-04-30
avoid_token_ew,-0.0248560948667775,0.2055997366167641,-0.474957046953004,49,2022-04-30,2026-04-30
convonly_token_ew,0.0033413718745438263,0.08094999555254635,0.00034399413366924535,55,2021-10-31,2026-04-30
valonly_token_ew,0.003545325713371918,0.09865794892455458,0.007443527400413997,55,2021-10-31,2026-04-30
sma_token_vw,0.026709294034655447,0.1567553660505061,0.5165801035146458,49,2022-04-30,2026-04-30
star_token_vw,-0.002728818955506598,0.24504441012004366,-0.085698390445609,49,2022-04-30,2026-04-30
avoid_token_vw,-0.029438112990162045,0.21876802029830747,-0.5189223725881972,49,2022-04-30,2026-04-30
sma_pooled_ew,0.012882077093786025,0.10177031039309237,0.32502424877507186,49,2022-04-30,2026-04-30
star_pooled_ew,-0.00895640815299081,0.24027130727094845,-0.17718683856159487,49,2022-04-30,2026-04-30
avoid_pooled_ew,-0.02183848524677683,0.21134409185256367,-0.41258658633402634,49,2022-04-30,2026-04-30
convonly_pooled_ew,0.005411112858254389,0.07661544568481576,0.0939450177943124,55,2021-10-31,2026-04-30
valonly_pooled_ew,0.00041516254744768815,0.09694819277150678,-0.10427053711521349,55,2021-10-31,2026-04-30
sma_pooled_vw,0.03789370022427497,0.1814335746808633,0.6598592513940685,49,2022-04-30,2026-04-30
star_pooled_vw,0.014315252358001504,0.2556741112979905,0.1487928646257273,49,2022-04-30,2026-04-30
avoid_pooled_vw,-0.023578447866273465,0.18074860754434124,-0.515772408907337,49,2022-04-30,2026-04-30
sma_coin_ew_turnover,0.16578947368421051,0.22631578947368425,,19,,
sma_coin_vw_turnover,0.09839557459808108,0.2590332074772237,,19,,
sma_token_ew_turnover,0.17749209568095017,0.13927120467610019,,48,,
sma_token_vw_turnover,0.13409529700772393,0.14775714099846254,,48,,
sma_pooled_ew_turnover,0.1966545923664984,0.17014529370551798,,48,,
sma_pooled_vw_turnover,0.2577657035948077,0.2822892891441772,,48,,
ew_universe,0.05798106434863561,0.31079029465034136,0.6091094108543595,129,2015-09-30,2026-05-31
