spec,var,coef,se,t,p,n
D1_token_lvl+d1m,conv_std,0.004063967072263497,0.003609431915478906,1.1259298325687583,0.2603053182022421,2518
D1_token_lvl+d1m,dconv_1m_std,0.0033052270805231767,0.003756406023547495,0.8798907944998364,0.379004627261464,2518
D1_token_lvl+d3m,conv_std,0.00019394265423620298,0.003226447067656684,0.060110285453113095,0.9520731128629676,2322
D1_token_lvl+d3m,dconv_3m_std,0.006033542196763747,0.004622080214629729,1.3053737530704212,0.1918984864756863,2322
D1_coin_lvl+d1m,conv_std,0.0007729539579157266,0.007537227119871213,0.10255150145043446,0.9183537218220921,654
D1_coin_lvl+d1m,dconv_1m_std,-0.004285858209091533,0.006940231910859397,-0.6175381837580155,0.5371176648732221,654
D1_coin_lvl+d3m,conv_std,0.0040364918885810765,0.007965216827649106,0.5067648472003274,0.6125282250323165,597
D1_coin_lvl+d3m,dconv_3m_std,-0.012157489074456728,0.010121032796130209,-1.2012103230319697,0.23020014377277098,597
D2_ve,conv_std,0.0016129700348845553,0.007508634818633088,0.214815352436888,0.8299686837267553,827
D2_plain,conv_std,0.004695893805585533,0.00387747449584809,1.2110701980409637,0.2260367319296006,1765
D3_fee,conv_std,0.005216935757396642,0.00555023163151397,0.9399491955930472,0.34737521962736806,1789
D3_nofee,conv_std,0.005557840202406385,0.006386008108513951,0.870315243570794,0.3844103770099063,803
D2_interaction,conv_std,0.006040076957322128,0.003941948707796157,1.5322566083562716,0.1255843482392054,2592
D2_interaction,conv_x_grp,-0.0023479647883159023,0.008760589553610832,-0.2680144725360575,0.7887100618746401,2592
D2_interaction_hiconf,conv_std,0.009588406302292015,0.007536908368649587,1.2721935617760471,0.20346227373884362,1939
D2_interaction_hiconf,conv_x_grp,-0.012046893355261159,0.012867997334242076,-0.9361902277679264,0.34929594319723,1939
D3_interaction,conv_std,0.0060153442358971245,0.0077763341386802905,0.7735449800152208,0.4392723031000876,2592
D3_interaction,conv_x_grp,-0.000502968556603136,0.010870244585791285,-0.046270215231456364,0.9630985362285287,2592
D3_interaction_hiconf,conv_std,0.011153933268814809,0.012172217837976602,0.9163435470251933,0.3596046998914233,1939
D3_interaction_hiconf,conv_x_grp,-0.007236472675815114,0.014387651974822974,-0.5029641173193691,0.6150486365898051,1939
D4_size_lo,conv_std,0.0022226088845925317,0.006023139335094747,0.3690116998692292,0.7122196635071381,840
D4_size_mid,conv_std,0.0018574400243652949,0.005857880359892366,0.31708398093665124,0.7512628172794868,862
D4_size_hi,conv_std,0.004291392039406545,0.008387572730810764,0.5116369392115814,0.6090417094293965,890
D4_turn_lo,conv_std,0.002760271786750644,0.007609558089822221,0.36273746177751187,0.7168976700912735,856
D4_turn_mid,conv_std,0.004225051202280685,0.007705342230265186,0.5483275208316446,0.5836190581630079,869
D4_turn_hi,conv_std,0.007369870459593441,0.005208691218150594,1.4149179037359407,0.15748022758124747,867
D5_token_bull,conv_std,0.005192940858847441,0.003605738457800462,1.440187889283348,0.15004041175383698,1420
D5_token_bear,conv_std,0.005738598599458801,0.005957336585270286,0.963282587330667,0.33561037001086547,1172
D5_token_pre2023,conv_std,0.029170144576199503,0.025748408496199002,1.13289116803105,0.2581354006259986,334
D5_token_post2023,conv_std,0.0036702497250698414,0.0025848900661623346,1.4198861967537713,0.15578173077119928,2258
D5_coin_bull,conv_std,-0.011265030957519446,0.010930095542498363,-1.03064341146139,0.30349377031825675,354
D5_coin_bull,conv_x_val,-0.024083183829863936,0.013185689691650387,-1.8264637188537967,0.06872081208194047,354
D5_coin_bear,conv_std,-0.009979858321829465,0.009443147721967601,-1.056835984744082,0.2914660187224365,326
D5_coin_bear,conv_x_val,-0.008811744197086762,0.009027977061061293,-0.9760485807050653,0.3298538653464369,326
D5_coin_pre2023,conv_std,0.01593065757105362,0.033163801469744056,0.48036283131134555,0.6331071043890497,74
D5_coin_pre2023,conv_x_val,0.07497809147560747,0.03987122381052353,1.88050639809601,0.06598954188773454,74
D5_coin_post2023,conv_std,-0.011295938645198275,0.007567753391443643,-1.492640954443606,0.13609636095668276,606
D5_coin_post2023,conv_x_val,-0.020501362807134032,0.004749783199514453,-4.31627338469465,1.8775932492554048e-05,606
D6_token_rawval,conv_std,0.0050964527758117625,0.0037621750409401336,1.3546559424673141,0.17564834838444954,2592
D6_token_rawval,conv_x_rawval,0.00022213020761990672,0.00466246073043912,0.047642268849519304,0.9620051108401988,2592
D6_coin_rawval,conv_std,-0.0004761164638351126,0.006886969056425622,-0.06913294657406518,0.9449062677898683,680
D6_coin_rawval,conv_x_rawval,-0.005969723991751477,0.0031459899100262445,-1.8975661596135494,0.05822133161207743,680
D6_token_nogcap,conv_std,0.005324610773327299,0.00421783545626965,1.2624036258722398,0.2070184311412664,1436
D6_token_nogcap,conv_x_val,-0.0024268803607603064,0.004467755007430925,-0.5431990690456022,0.5870811137561833,1436
D6_coin_nogcap,conv_std,-0.005167263845526007,0.01348343136819479,-0.38323062612346126,0.7017827665031764,406
D6_coin_nogcap,conv_x_val,-0.01632199469830788,0.016796373179221422,-0.9717570885183481,0.33184634598879725,406
D6_token_noB4,conv_std,0.007777248666006994,0.003743034534912507,2.077792388359245,0.03783159312224016,2535
D6_token_noB4,conv_x_val,0.002344869240868104,0.004284341579027947,0.547311459092419,0.5842142391227565,2535
D6_coin_noconvfallback,conv_std,-0.009280179750453098,0.005663296682217745,-1.6386532917464927,0.10183827290007619,634
D6_coin_noconvfallback,conv_x_val,-0.018062175611315966,0.0038694876947320623,-4.667846763256514,3.7998662549831863e-06,634
D6_token_mrp20,conv_std,0.006195646628679083,0.004180320633779437,1.4820984253252327,0.13843884303372156,2592
D6_token_mrp20,conv_x_val20,0.0032998041237850945,0.0042364716792948585,0.7789038552794791,0.4361093129931697,2592
D6_coin_mrp20,conv_std,-0.010529860267629948,0.006062234957820442,-1.7369601047953696,0.08289489694636121,680
D6_coin_mrp20,conv_x_val20,-0.01747459235170601,0.004926267554326844,-3.5472276239559317,0.00041894939118769514,680
D6_token_mrp40,conv_std,0.005994937243187944,0.004125150015360781,1.4532652681392566,0.14627433327000583,2592
D6_token_mrp40,conv_x_val40,0.0034810877748138584,0.004368598411949028,0.796843162624506,0.4256170116263718,2592
D6_coin_mrp40,conv_std,-0.009528908247416628,0.005936809927526608,-1.6050553013723583,0.1089949813692046,680
D6_coin_mrp40,conv_x_val40,-0.016312241409160162,0.00461381206442667,-3.5355235933709808,0.00043756259103977513,680
