spec,var,coef,se,t,p,n
coin_full_single_conv,conv_std,0.005456960109291018,0.007917914353553518,0.6891916059741116,0.49095725051602224,686
coin_full_single_raw_val,raw_val_std,0.007983728597562858,0.008527254329319297,0.9362601711212444,0.34949914149078243,686
coin_full_single_s2f_ln,s2f_ln_std,0.002273409310890216,0.008207058965555616,0.277006576951809,0.7818872920939899,565
coin_full_single_supply_g12,supply_g12_std,-0.00747349679417143,0.007923503230104552,-0.9432061270293463,0.3459381881751722,686
coin_full_single_high52,high52_std,0.015557032325753785,0.010216809874173708,1.5226898138800857,0.1283396908483796,686
coin_full_single_ma_cross,ma_cross_std,0.002304852239638987,0.01154031786572675,0.1997217291981272,0.841772442104225,588
coin_full_single_r_1m,r_1m_std,0.001863475392276895,0.008999607915604039,0.20706184199934913,0.8360286821179246,686
coin_full_single_mom_3m,mom_3m_std,0.008117434040468358,0.00813220977024485,0.9981830609153055,0.3185750488384711,686
coin_full_single_mom_12_2,mom_12_2_std,0.009251983168669278,0.010620739668016962,0.8711241832365477,0.3840224437823432,680
coin_full_joint,conv_std,0.006076624365629883,0.00901898943767881,0.673758895896191,0.5007550441329203,584
coin_full_joint,raw_val_std,0.010366164813404424,0.01232992648995037,0.8407320856173369,0.40087292754723425,584
coin_full_joint,supply_g12_std,-0.00025041873349613387,0.008378449437812798,-0.02988843405391558,0.9761671552904532,584
coin_full_joint,high52_std,0.024407348270852475,0.014952244939440229,1.6323534271748106,0.10319235656929227,584
coin_full_joint,ma_cross_std,-0.013719400863151045,0.011387104560584466,-1.2048190819850406,0.22880484137683443,584
coin_full_joint,r_1m_std,-0.0054657131384325324,0.014257217718006253,-0.3833646400398005,0.701601419924583,584
coin_full_joint,mom_3m_std,-0.0029728058017053855,0.012465756921025493,-0.23847776116115924,0.8116017062813667,584
coin_full_joint,mom_12_2_std,-0.00026556018196446945,0.009094810338590087,-0.029199089599227162,0.9767166757792669,584
coin_full_joint_int,conv_std,-0.00248488457847957,0.0064246827890115845,-0.3867715590144896,0.6990794116116412,584
coin_full_joint_int,raw_val_std,0.010264310303535133,0.015333549889794242,0.6694020874035757,0.5035283356499518,584
coin_full_joint_int,supply_g12_std,-0.0016965993564627636,0.008382572860119245,-0.2023960166853389,0.8396842283392592,584
coin_full_joint_int,high52_std,0.027759348693584467,0.014114637277817076,1.966706486833478,0.04973446679835103,584
coin_full_joint_int,ma_cross_std,-0.014777242419230013,0.011431701622609841,-1.292654663939382,0.19668954776202985,584
coin_full_joint_int,r_1m_std,-0.007727468601024532,0.014227950398512764,-0.5431188881451454,0.5872745754001685,584
coin_full_joint_int,mom_3m_std,-0.005679731665356395,0.012151420627642942,-0.46741297494349965,0.6403951158129892,584
coin_full_joint_int,mom_12_2_std,-0.0018391971440229096,0.008400841894908554,-0.21893009855804813,0.8267881493847735,584
coin_full_joint_int,val_std,-0.0001083073444975122,0.008872973946754056,-0.01220643102836266,0.9902654778671929,584
coin_full_joint_int,conv_x_val,-0.017631695328698082,0.006222932602470328,-2.8333418429919677,0.004780568246573802,584
coin_sub2024_single_conv,conv_std,0.009019924048805474,0.007380604341439916,1.2221118531122528,0.2222980642009087,484
coin_sub2024_single_raw_val,raw_val_std,0.016157766382096726,0.009626182663501954,1.6785227277433168,0.09393170720698607,484
coin_sub2024_single_s2f_ln,s2f_ln_std,0.009017417387689864,0.004844704766333672,1.8612934786765092,0.06351088837754704,392
coin_sub2024_single_supply_g12,supply_g12_std,-0.01425643527481907,0.005102329510943317,-2.7941032119235563,0.00542415469880364,484
coin_sub2024_single_high52,high52_std,0.023587454899643083,0.01143850229747287,2.0621104307383233,0.03976444769002008,484
coin_sub2024_single_ma_cross,ma_cross_std,0.009319415728157785,0.011336417718069841,0.8220776580332756,0.411473939259414,472
coin_sub2024_single_r_1m,r_1m_std,-0.0025942663179658637,0.01052762753728732,-0.24642459174940898,0.8054647048854622,484
coin_sub2024_single_mom_3m,mom_3m_std,0.008221097230655651,0.009503012658882705,0.8651043122594585,0.3874374185589802,484
coin_sub2024_single_mom_12_2,mom_12_2_std,0.01896971681586128,0.009040665580754613,2.0982655144598215,0.03643739739675622,480
coin_sub2024_joint,conv_std,0.0045100567543996314,0.006742962499712582,0.6688538983557853,0.5039451101451813,468
