spec,y,alpha,alpha_t,n,r2,b_rev_ls,t_rev_ls,b_mom3_ls,t_mom3_ls,b_mom12_ls,t_mom12_ls,b_high52_ls,t_high52_ls,b_size_ls,t_size_ls,b_rawval_ls,t_rawval_ls,b_s2f_ls,t_s2f_ls,b_macross_ls,t_macross_ls,b_q5_ew,t_q5_ew
q5_on_ltw+rev_ls,q5_ew,0.025320227669169828,3.180043472693606,50,0.22539894713641917,0.1761423913263253,2.15084597410131,,,,,,,,,,,,,,,,
q5_on_ltw+mom3_ls,q5_ew,0.015296154550545192,1.852669432589636,50,0.1763390483776901,,,0.13260079215770942,1.0766333301523672,,,,,,,,,,,,,,
q5_on_ltw+mom12_ls,q5_ew,0.017382360593028293,2.3265227101688617,50,0.1595534100483076,,,,,0.05019056911070041,0.32594304647462374,,,,,,,,,,,,
q5_on_ltw+high52_ls,q5_ew,0.020281783030428872,2.6965061209696826,47,0.16499789391612874,,,,,,,0.02956404261633068,0.36196396232354366,,,,,,,,,,
q5_on_ltw+size_ls,q5_ew,0.016976150103104524,2.148430685971273,50,0.15638112947832616,,,,,,,,,-0.03046929114599374,-0.26477418273557624,,,,,,,,
q5_on_ltw+rawval_ls,q5_ew,0.018001903963625034,2.173138177207548,50,0.1575740789607294,,,,,,,,,,,0.029293064564303563,0.36054415754562574,,,,,,
q5_on_ltw+s2f_ls,q5_ew,0.016044783710822408,1.926114527605931,46,0.13369481327292143,,,,,,,,,,,,,-0.03033582046016868,-0.21803279277829823,,,,
q5_on_ltw+macross_ls,q5_ew,0.010883067658760489,1.156700797451504,31,0.2901618169169867,,,,,,,,,,,,,,,-0.09361998900034486,-0.9983511184518571,,
q5_on_ltw+all,q5_ew,0.009876809768640705,0.9852830443345598,28,0.5146830851475546,0.3725256844077287,1.9827756000576877,0.43109667627579407,2.9719840111818416,0.3179801993106305,1.3363738732739066,-0.2394839038987282,-1.2296580527177112,0.0338282599752433,0.2554543263386072,-0.032144826776169186,-0.30390599519388367,-0.0649889652223836,-0.34763178496200736,-0.22002937805025968,-1.7261946304239155,,
rev_ls_on_ltw+q5,rev_ls,-0.05487432769605816,-3.5042269730032247,50,0.09885096046766395,,,,,,,,,,,,,,,,,0.4744647684145633,2.4089168047964358
mom3_ls_on_ltw+q5,mom3_ls,0.010179943394791082,1.0436462234990247,50,0.20223818997656728,,,,,,,,,,,,,,,,,0.1925391020355703,1.142965363550844
mom12_ls_on_ltw+q5,mom12_ls,-0.007911906510772304,-0.5359658272194358,50,0.06951207535223347,,,,,,,,,,,,,,,,,0.11300594094175626,0.3311381270247308
high52_ls_on_ltw+q5,high52_ls,-0.023194925357266465,-1.4291648725678838,47,0.018526348698938433,,,,,,,,,,,,,,,,,0.07832636893875382,0.3582966499024222
size_ls_on_ltw+q5,size_ls,-0.002403027853318158,-0.14321710126905562,50,0.05108228968509221,,,,,,,,,,,,,,,,,-0.06297236007231782,-0.26198198453688837
rawval_ls_on_ltw+q5,rawval_ls,-0.033340471207607816,-1.653800303132894,50,0.07651396608682559,,,,,,,,,,,,,,,,,0.1136820542209605,0.3438806324303506
s2f_ls_on_ltw+q5,s2f_ls,0.006298992906094942,0.43210426981225736,46,0.09769230697717124,,,,,,,,,,,,,,,,,-0.06010765382679627,-0.2186772565588838
macross_ls_on_ltw+q5,macross_ls,-0.03293470618043984,-2.8875185661650464,31,0.16249981567415417,,,,,,,,,,,,,,,,,-0.3305850316256216,-0.9404112527198837
