portfolio,period,mean_mo,alpha,alpha_t,sharpe,n
q5_ew,full,0.022806390572998506,0.017082144565023515,2.178322631642921,0.8615366844446031,50
q5_ew,post2023,0.026359070869596057,0.014768842301971839,1.7909200426121212,1.114509917519503,40
pf_cheap_ls,full,0.00787212563513908,-0.0017899056353912865,-0.10123549449608793,0.14983642549690532,41
pf_cheap_ls,post2023,0.017348718555840633,0.011514270837174117,0.8489728181273263,0.5599851676895969,40
prevgl_cheap_ls,full,-0.00598893416938783,0.009776790583637143,0.5513742917401386,-0.22898416256329604,38
prevgl_cheap_ls,post2023,-0.00598893416938783,0.009776790583637143,0.5513742917401386,-0.22898416256329604,38
ma_dist_ls,full,-0.023174684603771086,-0.021679641514610257,-1.566091405827953,-0.8640679829641861,50
ma_dist_ls,post2023,-0.028827630344253397,-0.02184272437087991,-1.3581193500304118,-1.1050198128118383,40
vol12_ls,full,-0.0125256159952131,-0.010611986476669591,-0.7272739761504771,-0.4755653541787527,50
vol12_ls,post2023,-0.02352756856089573,-0.015121739873013903,-0.886867332458518,-1.023971302252484,40
ivol_ls,full,-0.012355127020721302,-0.005578541115442814,-0.42938402583280905,-0.5162682993943264,50
ivol_ls,post2023,-0.026174578771060376,-0.018133459016754904,-1.1741736484210779,-1.1450147274360052,40
amihud_ls,full,-0.006460776692685276,-0.014651352284351132,-0.817553616710166,-0.25019730802194573,50
amihud_ls,post2023,0.017165055448346494,0.014382752820545967,0.9458624829829122,0.49666071058455996,40
skew36_ls,full,-0.005362041932764683,0.003109928165056039,0.16441202587083936,-0.22350259806580108,49
skew36_ls,post2023,-0.018644073998896987,-0.012314384025686555,-0.6949726160779635,-0.735824948406048,40
rev_ls,full,-0.04523742643685804,-0.0467694519309902,-3.0212855299551244,-1.4122245635319088,50
rev_ls,post2023,-0.03774500256665762,-0.031214048492549037,-1.7913573678524426,-1.2382516227990934,40
mom3_ls,full,0.005908993715352018,0.013468924170182507,1.2144090781507388,0.09306881893808376,50
mom3_ls,post2023,-0.007953414384129776,0.005770304763204079,0.5076642458121556,-0.44249233937582805,40
mom12_ls,full,-0.00491677391415938,-0.005981522690898716,-0.36535869591657116,-0.2559528451816526,50
mom12_ls,post2023,0.006689750484045527,0.013271686667823489,1.252055592835824,0.12259514683792712,40
high52_ls,full,-0.025938104480292868,-0.021656475627103156,-1.2595831346233062,-0.8493787961567721,47
high52_ls,post2023,-0.021214328263784204,-0.0061169668094547165,-0.3083456936733983,-0.7316903156005727,37
size_ls,full,-0.0025368075506720677,-0.0034787308116742206,-0.22791317218595403,-0.19159557834554766,50
size_ls,post2023,-0.009456601912171065,-0.008891048842583743,-0.5972721735507676,-0.48569512353059363,40
rawval_ls,full,-0.026397814380405296,-0.03139853792295652,-1.8849137467434018,-0.6990963941087988,50
rawval_ls,post2023,-0.009735972734749954,-0.006345200367328689,-0.4761826825373785,-0.40255570456481027,40
s2f_ls,full,0.006991077544044131,0.005344323520723602,0.36253351954710367,0.12417867333860386,46
s2f_ls,post2023,0.009171251117042301,0.009480487312717487,0.6182456437458153,0.21944561026547857,40
