spec,y,alpha,alpha_t,n,r2,b_pf_cheap_ls,t_pf_cheap_ls,b_prevgl_cheap_ls,t_prevgl_cheap_ls,b_ma_dist_ls,t_ma_dist_ls,b_vol12_ls,t_vol12_ls,b_ivol_ls,t_ivol_ls,b_amihud_ls,t_amihud_ls,b_skew36_ls,t_skew36_ls,b_rev_ls,t_rev_ls,b_mom3_ls,t_mom3_ls,b_mom12_ls,t_mom12_ls,b_high52_ls,t_high52_ls,b_size_ls,t_size_ls,b_rawval_ls,t_rawval_ls,b_s2f_ls,t_s2f_ls,b_q5_ew,t_q5_ew
q5_on_ltw+pf_cheap_ls,q5_ew,0.012190411030306594,1.6702301059971545,41,0.2895738095291419,0.20194043175295112,2.6373320408566845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q5_on_ltw+prevgl_cheap_ls,q5_ew,0.015436883226958015,1.841153040134149,38,0.15644903605116034,,,0.028704283579414402,0.16054422858036901,,,,,,,,,,,,,,,,,,,,,,,,,,
q5_on_ltw+ma_dist_ls,q5_ew,0.01834539105602754,2.4597058648400054,50,0.16057482974115977,,,,,0.05826879056799492,0.6889325564397728,,,,,,,,,,,,,,,,,,,,,,,,
q5_on_ltw+vol12_ls,q5_ew,0.01686034278879787,2.097724062512861,50,0.15568263540597493,,,,,,,-0.020901060957224396,-0.17834574567671377,,,,,,,,,,,,,,,,,,,,,,
q5_on_ltw+ivol_ls,q5_ew,0.016931546102919654,2.149667405880119,50,0.15589336044428992,,,,,,,,,-0.026996029784016398,-0.17957761534610758,,,,,,,,,,,,,,,,,,,,
q5_on_ltw+amihud_ls,q5_ew,0.017421847825100784,2.1393703640734465,50,0.156118052011601,,,,,,,,,,,0.023185795651099732,0.2827874371969067,,,,,,,,,,,,,,,,,,
q5_on_ltw+skew36_ls,q5_ew,0.016619347228647132,2.1127893924177483,49,0.16016981924509888,,,,,,,,,,,,,0.04496669955327888,0.3269227105498691,,,,,,,,,,,,,,,,
q5_on_ltw+all7_madist,q5_ew,0.01661898156289848,2.7257973266022044,43,0.5100280968487727,,,,,-0.20999320599473512,-1.2490293014466216,,,,,,,,,0.5063160600788014,4.746829994425075,0.5628404451196967,5.871701808538326,0.27635024350918475,1.982468617869918,-0.3971088155762897,-2.46070195019392,-0.09050439975303522,-0.7394674021078187,-0.033487774816194124,-0.39121157317937966,-0.10966330240190698,-0.7872030575499558,,
q5_on_ltw+completed,q5_ew,0.017416887479877602,2.4526093988019264,43,0.6039935337721227,,,,,-0.14816623448639724,-1.002530896610216,-0.02113488208390537,-0.18038819168294412,-0.18068251947872666,-1.6749485381212559,-0.23538877171322312,-1.5432269049067522,0.23879612810384604,2.8432789987091263,0.4317233936851676,3.3673183700502367,0.5582236651375491,5.567362539404195,0.23740796437702594,1.8576254010515734,-0.31760195462277263,-1.795694491759066,-0.21932340078834095,-1.82084075751177,0.07224575383813679,0.874180885295844,-0.07835507809882172,-0.6614740799257538,,
q5_on_ltw+completed+fees,q5_ew,0.021745053700537306,2.8218342472668887,35,0.8067994506108683,0.23969948000211855,2.075958575141783,-0.051909566626796085,-1.291737239120558,-0.011659731549162767,-0.09973979105813416,0.18365266062445143,1.5334350610341918,-0.004584968106318615,-0.042710910654297926,-0.33140057296813613,-4.471572002739331,0.25427326172784964,2.965814348031458,0.18772791546357845,1.620272516234332,0.4873514341847768,5.032622319987391,0.022209950356016403,0.14252989192176918,0.029188561061412946,0.21760814725029137,-0.1770795490605984,-1.5097702351825466,0.11928814018824166,1.7361694911937129,0.06819432767790082,0.7505100819283136,,
pf_cheap_ls_on_ltw+q5,pf_cheap_ls,-0.007159873743835554,-0.41985314688455716,41,0.22813652149863684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4539680242735593,2.0582138594895625
prevgl_cheap_ls_on_ltw+q5,prevgl_cheap_ls,0.007854212291450943,0.32119954638151954,38,0.08340181329551366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12232072330439608,0.1581853010668619
ma_dist_ls_on_ltw+q5,ma_dist_ls,-0.023696668967819853,-1.858642367558601,50,0.07662641527742853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11807811633555344,0.6772382344373803
vol12_ls_on_ltw+q5,vol12_ls,-0.009719233656506518,-0.6140402382474602,50,0.030118775943007825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05226233841803629,-0.16847508308617332
ivol_ls_on_ltw+q5,ivol_ls,-0.004729594356275331,-0.3358892928376598,50,0.14030088502036364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04969790273908273,-0.177673193847758
amihud_ls_on_ltw+q5,amihud_ls,-0.015835662025028445,-0.7755018710770838,50,0.1587237256541022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06933027268146583,0.2727974113087358
skew36_ls_on_ltw+q5,skew36_ls,0.0008954323531097828,0.0381231633163122,49,0.14981147585484822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1321362043505009,0.3333710049047609
