month_end,DEX,Derivatives,Lending,Other,Staking/LSD,Yield
2021-01-31,1,0,0,0,0,0
2021-02-28,1,0,0,0,0,0
2021-03-31,1,0,0,0,0,0
2021-04-30,1,0,0,0,0,0
2021-05-31,1,0,0,0,0,0
2021-06-30,1,0,0,0,0,0
2021-07-31,2,0,1,0,0,0
2021-08-31,3,0,1,1,0,0
2021-09-30,5,0,1,1,0,0
2021-10-31,6,0,1,1,0,0
2021-11-30,6,0,1,1,0,0
2021-12-31,6,0,1,1,0,0
2022-01-31,7,0,1,1,0,0
2022-02-28,8,0,1,1,0,0
2022-03-31,9,0,1,4,0,1
2022-04-30,11,0,1,5,0,1
2022-05-31,11,0,2,5,0,2
2022-06-30,12,0,2,5,0,2
2022-07-31,15,0,2,5,0,2
2022-08-31,20,1,2,5,0,4
2022-09-30,20,3,3,5,0,6
2022-10-31,19,3,4,5,0,7
2022-11-30,20,3,4,7,0,7
2022-12-31,24,3,5,7,0,7
2023-01-31,23,2,5,7,0,7
2023-02-28,23,2,7,8,0,4
2023-03-31,24,2,6,7,1,6
2023-04-30,25,2,7,6,1,8
2023-05-31,26,3,6,8,1,9
2023-06-30,26,3,7,8,1,9
2023-07-31,26,3,8,8,1,9
2023-08-31,26,3,8,9,1,9
2023-09-30,25,3,8,9,1,9
2023-10-31,26,3,9,10,1,9
2023-11-30,29,3,9,10,1,8
2023-12-31,30,3,9,10,1,7
2024-01-31,30,3,10,10,1,7
2024-02-29,29,3,11,10,1,8
2024-03-31,28,4,11,10,1,8
2024-04-30,28,4,11,10,1,8
2024-05-31,28,4,11,11,1,8
2024-06-30,28,4,11,11,1,9
2024-07-31,29,4,11,12,1,9
2024-08-31,31,4,11,11,1,9
2024-09-30,31,4,10,12,1,8
2024-10-31,31,3,10,10,1,8
2024-11-30,27,3,11,10,1,7
2024-12-31,27,3,11,11,1,7
2025-01-31,28,4,11,13,1,7
2025-02-28,30,4,11,12,1,7
2025-03-31,27,4,10,12,1,7
2025-04-30,30,4,11,13,1,7
2025-05-31,28,4,10,14,1,7
2025-06-30,30,4,10,14,1,7
2025-07-31,30,4,9,14,1,8
2025-08-31,30,4,8,14,1,8
2025-09-30,29,4,8,14,1,8
2025-10-31,28,3,8,14,2,7
2025-11-30,27,3,8,14,2,5
2025-12-31,27,3,10,14,2,5
2026-01-31,25,3,9,14,2,6
2026-02-28,21,3,9,11,2,5
2026-03-31,20,3,9,11,2,6
2026-04-30,20,3,10,11,2,6
2026-05-31,20,2,10,11,2,5
