symbol,cmc_id,tf,gl_cum,scrMo,hodl_med,hodl_last,gl,dl_slug,tvl,b4
bUSD0,33981,288913,1039,9,5.9,5.9,1039,,N,pass
IFT,1888,30119,1237,15,52.2,92.7,198,,N,pass
DRG,2593,23511,1397,18,32.8,33.5,160,,N,pass
RIVER,38417,91950,1910,6,0.0,0.0,513,river-omni-cdp,Y,pass
NXM,5830,118725,2370,30,40.0,46.7,460,,N,pass
SFRXETH,23177,153350,2913,10,35.6,47.8,543,,N,pass
CRD,3367,54921,3207,4,9.4,2.0,294,,N,pass
META,3418,13126,3518,87,91.1,91.1,311,,N,flag-high
MULTI,17050,60295,3822,12,7.0,7.7,304,multichain,Y,pass
CAT,1882,28461,3941,12,6.4,75.8,119,,N,pass
TEN,2576,51201,4223,54,79.5,91.9,282,,N,pass
UNFI,7672,61320,4486,45,49.4,9.6,263,,N,pass
SOSO,35818,363859,5787,9,0.5,0.5,1301,sosovalue-indexes,Y,pass
ADX,1768,180121,6347,64,17.4,36.2,560,,N,pass
LIT,39125,143947,7038,6,0.0,0.0,691,lighter-bridge,Y,pass
DMT,2503,29500,7212,32,78.6,56.1,174,,N,pass
RSWETH,29974,346322,8385,11,41.2,54.3,1173,,N,pass
ROX,3325,24486,8563,20,69.6,82.7,178,,N,pass
LOCUS,3855,105674,8986,41,79.9,84.4,423,,N,pass
APEX,19843,211511,9743,9,51.4,52.5,757,apex-pro,Y,pass
ZAP,2363,68553,9985,11,42.5,45.1,242,,N,pass
TROY,5007,20531,10211,53,87.7,30.3,226,,N,flag-high
RBN,12387,257795,11073,30,9.7,8.4,862,ribbon,Y,pass
TKN,1660,112365,11417,48,74.2,66.4,344,,N,pass
PIXEL,29335,73738,11792,28,5.1,3.6,375,,N,pass
LIT,6833,69575,12104,48,28.7,5.3,312,,N,pass
DAD,4862,34288,12353,40,65.8,46.0,249,,N,pass
WBETH,24760,116275,12850,23,18.6,89.4,497,,N,pass
GEN,2726,94914,13148,6,43.7,44.9,298,,N,pass
SMT,2277,29988,13362,37,100.0,100.0,214,,N,flag-high
DOV,2110,73665,13667,41,56.5,50.4,305,,N,pass
RING,5798,216241,14401,30,12.6,23.0,734,,N,pass
ORC,5326,91546,14757,36,51.3,45.4,356,orbit-bridge,Y,pass
LINA,3083,53175,14973,18,73.9,93.8,216,,N,pass
TETH,37574,259957,15970,5,3.9,3.9,997,,N,pass
METH,29035,170478,16635,11,12.5,14.1,665,,N,pass
MAV,18037,114273,17101,34,3.0,17.6,466,maverick-v1,Y,pass
CFG,6748,275392,18152,15,0.0,46.1,1051,centrifuge-protocol,Y,pass
FF,38482,361148,19505,9,0.0,0.3,1353,falcon-finance,Y,pass
AUTO,2559,52425,19737,31,38.2,73.1,232,,N,pass
WINGS,1500,153383,20215,45,39.7,46.7,478,,N,pass
ZIP,2826,35485,20401,28,35.1,35.7,186,,N,pass
VOLT,19650,121182,20891,22,48.8,54.7,490,,N,pass
OST,2296,147047,21401,42,44.3,44.3,510,,N,pass
PRL,2202,72495,21664,10,25.1,46.7,263,,N,pass
YOU,3053,57296,21902,16,94.3,99.3,238,,N,flag-high
SKY,33038,996285,25077,13,0.3,3.5,3175,sky-lending,Y,pass
DGTX,2772,44823,25341,6,0.0,32.3,264,,N,pass
SPI,8161,168006,25936,11,26.6,46.6,595,,N,pass
PYR,9308,299812,26896,53,29.0,17.0,960,,N,pass
VEE,2223,261517,27693,71,63.6,60.9,797,,N,pass
SWETH,25147,814882,30242,11,12.2,16.3,2549,,N,pass
EDGE,39720,581563,32299,3,0.0,0.0,2057,edgex-bridge,Y,pass
DODO,7224,465519,33668,63,17.9,34.1,1369,dodo-amm,Y,pass
ALI,16876,299290,34622,40,8.4,15.4,954,,N,pass
