symbol,cmc_id,tf,gl_cum,scrMo,hodl_med,hodl_last,gl,tvl,b4
ANKR,3783,1038372,3129,85,68.8,60.3,3129,Y,pass
FUEL,2120,106285,3573,33,59.4,33.3,444,N,pass
SLP,5824,2393756,10704,58,32.3,42.0,7131,N,pass
KNCL,1982,1488085,15272,47,33.1,47.2,4568,Y,pass
FUN,1757,1166549,18783,105,58.0,24.4,3511,N,pass
SNX,2586,2592989,26660,73,17.8,24.9,7877,Y,pass
ERC20,2165,147250,27578,46,59.6,73.9,918,N,pass
MLK,5266,7094910,53775,15,65.4,69.0,26197,N,pass
LEND,2239,622011,55829,33,35.9,24.3,2054,Y,pass
EETH,28568,1109069,59246,11,2.2,3.1,3417,N,pass
ELON,9436,1685185,64353,56,60.5,65.8,5107,N,pass
SAI,2308,3129097,73721,25,19.5,38.3,9368,N,pass
PNT,2691,271594,74783,5,97.9,98.0,1062,N,flag-high
