cmc_id,symbol,name,slug,date_added,entry_month,tags
1,BTC,Bitcoin,bitcoin,2013-04-28T00:00:00.000Z,2015-08-31,1confirmation-portfolio;2017-2018-alt-season;a16z-portfolio;alameda-research-portfolio;arrington-xrp-capital;binance-ecosystem;binance-labs-portfolio;binance-listing;bitcoin-ecosystem;blockchain-capital-portfolio;boostvc-portfolio;btc-ecosystem;cms-holdings-portfolio;coinbase-ventures-portfolio;dcg-portfolio;dragonfly-capital-portfolio;electric-capital-portfolio;fabric-ventures-portfolio;framework-ventures;framework-ventures-portfolio;ftx-bankruptcy-estate;galaxy-digital-portfolio;huobi-capital;huobi-capital-portfolio;layer-1;mineable;multicoin-capital-portfolio;pantera-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;placeholder-ventures-portfolio;polychain-capital-portfolio;pow;privacy;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;sha-256;state-channel;state-channels;store-of-value;three-arrows-capital-portfolio;us-strategic-crypto-reserve;usv-portfolio;winklevoss-capital;winklevoss-capital-portfolio
52,XRP,XRP,xrp,2013-08-04T00:00:00.000Z,2015-08-31,2017-2018-alt-season;a16z-portfolio;arrington-xrp-capital;arrington-xrp-capital-portfolio;binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;enterprise-solutions;ftx-bankruptcy-estate;galaxy-digital-portfolio;iso-20022;klaytn-ecosystem;made-in-america;medium-of-exchange;pantera-capital-portfolio;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;sec-security-token;solana-ecosystem;us-strategic-crypto-reserve;xrp-ecosystem
2,LTC,Litecoin,litecoin,2013-04-28T00:00:00.000Z,2015-08-31,2017-2018-alt-season;binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;heco-ecosystem;hoo-smart-chain-ecosystem;layer-1;made-in-america;medium-of-exchange;mineable;pow;privacy;scrypt;sec-cftc-digital-commodities;sec-cftc-token-taxonomy
1027,ETH,Ethereum,ethereum,2015-08-07T00:00:00.000Z,2015-08-31,1confirmation-portfolio;a16z-portfolio;abstract-chain-ecosystem;alameda-research-portfolio;arrington-xrp-capital;avalanche-ecosystem;binance-ecosystem;binance-labs-portfolio;binance-listing;binance-smart-chain;blockchain-capital-portfolio;bnb-chain;boostvc-portfolio;cms-holdings-portfolio;coinbase-ventures-portfolio;crowdfunding;dcg-portfolio;dragonfly-capital-portfolio;electric-capital-portfolio;ethash;ethereum;ethereum-ecosystem;ethereum-pow-ecosystem;fabric-ventures-portfolio;framework-ventures;framework-ventures-portfolio;ftx-bankruptcy-estate;hashkey-capital-portfolio;heco-ecosystem;huobi-capital;huobi-capital-portfolio;injective-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;klaytn-ecosystem;layer-1;medium-of-exchange;mineable;multicoin-capital-portfolio;near-protocol-ecosystem;osmosis-ecosystem;pantera-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;placeholder-ventures-portfolio;polychain-capital-portfolio;pos;pow;rsk-rbtc-ecosystem;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;smart-contracts;solana-ecosystem;soneium-ecosystem;sophon-ecosystem;sora-ecosystem;starknet-ecosystem;tezos-ecosystem;three-arrows-capital-portfolio;unichain-ecosystem;us-strategic-crypto-reserve;usv-portfolio;velas-ecosystem;viction-ecosystem;winklevoss-capital;winklevoss-capital-portfolio;world-liberty-financial-portfolio;zksync-era-ecosystem
131,DASH,Dash,dash,2014-02-14T00:00:00.000Z,2015-08-31,2017-2018-alt-season;alleged-sec-securities;binance-ecosystem;binance-listing;dao;governance;hybrid-pow-pos;made-in-america;masternodes;medium-of-exchange;mineable;near-protocol-ecosystem;privacy;privacy-coins;x11
74,DOGE,Dogecoin,dogecoin,2013-12-15T00:00:00.000Z,2015-08-31,animal-memes;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;doge-chain-ecosystem;doggone-doggerel;ftx-bankruptcy-estate;made-in-america;medium-of-exchange;memes;mineable;osmosis-ecosystem;payments;pow;scrypt;sec-cftc-digital-commodities;sec-cftc-token-taxonomy
642,BANX,Banx,banx,2014-09-30T00:00:00.000Z,2015-08-31,
512,XLM,Stellar,stellar,2014-08-05T00:00:00.000Z,2015-08-31,2017-2018-alt-season;binance-ecosystem;binance-listing;decentralized-exchange;decentralized-exchange-dex-token;defi;enterprise-solutions;hashkey-capital-portfolio;iso-20022;made-in-america;medium-of-exchange;real-world-assets;real-world-assets-protocols;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;smart-contracts
291,MAID,MaidSafeCoin,maidsafecoin,2014-04-28T00:00:00.000Z,2015-08-31,distributed-computing;filesharing;omni;platform;storage
372,BCN,Bytecoin,bytecoin-bcn,2014-06-17T00:00:00.000Z,2015-08-31,cryptonight;medium-of-exchange;mineable;payments;pow;privacy
