cmc_id,symbol,name,asset_class,sector,coin_staking_type,lambda_months,lambda_n_channels,lambda_channels,has_ch1,has_ch2,has_ch3_v,has_ch3_d,has_nvt_gl,nvt_months,pq_source,has_tvl,tvl_months,holder_count,est_getlogs_calls,evm_chain,etherscan_reachable,coverage_status,what_needed
38337,0G,0G,coin,DePIN;Layer-1,pos_possible,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pos_possible] | pq_nvtgl
1197,1CR,1CRedit,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
1252,2GIVE,2GIVE,coin,,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
93,42,42-coin,coin,,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
221,888,OctoCoin,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
3871,AB,AB,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
3437,ABBC,ABBC Coin,coin,Payments,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
374,ABY,ArtByte,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
269,AC,AsiaCoin,coin,Yield,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
1918,ACT,Achain,coin,Farm;Smart Contract Platform,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
2010,ADA,Cardano,coin,Chain;Layer-1;Smart Contract Platform,pos,70,1,ch1_staking,True,False,False,False,True,43,defillama_chain_dex,False,0,,,,,complete,COMPLETE
948,ADC,AudioCoin,coin,,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
1176,ADCN,Asiadigicoin,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
261,ADN,Aiden,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
1136,ADZ,Adzcoin,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
1700,AE,Æternity,coin,Payments;Privacy;Smart Contract Platform,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
1026,AEON,Aeon,coin,Privacy,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
911,AIB,Advanced Internet Blocks,coin,,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
2062,AION,Aion,coin,AI/Big Data;Payments,pow_only,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pow_only] | pq_nvtgl
9104,AIOZ,AIOZ Network,coin,AI/Big Data;DePIN;Layer-1;Smart Contract Platform;Storage,pos_possible,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pos_possible] | pq_nvtgl
32193,ALEO,Aleo,coin,Layer-1;Privacy;Smart Contract Platform;Zero Knowledge,pos_possible,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking[pos_possible] | pq_nvtgl
4030,ALGO,Algorand,coin,Layer-1;RWA;Smart Contract Platform,pos,0,0,,False,False,False,False,True,33,defillama_chain_dex,False,0,,,,,partial,ch1_staking
1505,ALIAS,Alias,coin,,pos,0,0,,False,False,False,False,False,0,,False,0,,,,,not_started,ch1_staking | pq_nvtgl
