cmc_id,symbol,name,entry_month,tags
626,USNBT,NuBits,2015-08-31,pos;sha-256;stablecoin;stablecoin-algorithmically-stabilized
825,USDT,Tether USDt,2015-08-31,algorand-ecosystem;apertum-ecosystem;aptos-ecosystem;arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;astar-ecosystem;aurora-ecosystem;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bitcoin-cash-ecosystem;bitgert-ecosystem;bnb-chain;bnb-chain-ecosystem;boba-network-ecosystem;canto-ecosystem;celo-ecosystem;conflux-ecosystem;core-ecosystem;cronos-ecosystem;cube-network-ecosystem;doge-chain-ecosystem;duckchain-ecosystem;eos-evm-ecosystem;ethereum-ecosystem;ethereum-pow-ecosystem;etherlink-ecosystem;everscale-ecosystem;fantom-ecosystem;fiat-stablecoin;fuse-ecos;fuse-ecosystem;fusion-network-ecosystem;gnosis-chain-ecosystem;harmony-ecosystem;heco-ecosystem;hoo-smart-chain-ecosystem;injective-ecosystem;iotex-ecosystem;kardiachain-ecosystem;kcc-ecosystem;klaytn-ecosystem;manta-pacific-ecosystem;mantle-ecosystem;meter-ecosystem;metis-andromeda-e;metis-andromeda-ecosystem;milkomeda-ecosystem;moonbeam-ecosystem;moonriver-ecosystem;near-protocol-ecosystem;neon-evm-ecosystem;oasis-ecosystem;okexchain-ecosystem;onus-ecosystem;optimism-ecosystem;osmosis-ecosystem;payments;peaq-ecosystem;polygon-ecosystem;polygon-zkevm-ecosystem;pulsechain-ecosystem;redlight-chain-ecosystem;rsk-rbtc-ecosystem;scroll-ecosystem;secret-ecosystem;sei-ecosystem;solana-ecosystem;sophon-ecosystem;stablecoin;stablecoin-asset-backed;starknet-ecosystem;store-of-value;sui-ecosystem;syscoin-ecosystem;telos-ecosystem;terra-ecosystem;tezos-ecosystem;thundercore-ecosystem;toncoin-ecosystem;tron20-ecosystem;usd-stablecoin;velas-ecosystem;venom-ecosystem;viction-ecosystem;waves-ecosystem;world-liberty-financial-portfolio;x-layer-ecosystem;xdc-ecosystem;xlayer-ecosystem;zedxion-smart-chain-ecosystem;zilliqa-ecosystem;zksync-era-ecosystem
895,XAUR,Xaurum,2015-08-31,asset-management;stablecoin;stablecoin-asset-backed
623,BITUSD,bitUSD,2015-08-31,stablecoin;stablecoin-asset-backed;store-of-value
624,BITCNY,bitCNY,2015-08-31,defi;stablecoin;store-of-value
1229,DGD,DigixDAO,2016-05-31,asset-backed-stablecoin;platform;stablecoin;stablecoin-asset-backed
1312,SBD,Steem Dollars,2016-09-30,content-creation;media;stablecoin
2563,TUSD,TrueUSD,2018-05-31,arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;ethereum-ecosystem;fiat-stablecoin;stablecoin;stablecoin-asset-backed;store-of-value;tron20-ecosystem;usd-stablecoin
3408,USDC,USDC,2018-10-31,algorand-ecosystem;aptos-ecosystem;arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;astar-ecosystem;aurora-ecosystem;avalanche-ecosystem;base-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bitcoin-cash-ecosystem;bitgert-ecosystem;bnb-chain;bnb-chain-ecosystem;boba-network-ecosystem;canto-ecosystem;celo-ecosystem;coinbase-ventures-portfolio;conflux-ecosystem;core-ecosystem;cronos-ecosystem;doge-chain-ecosystem;elastos-ecosystem;energi-ecosystem;ethereum-ecosystem;ethereum-pow-ecosystem;etherlink-ecosystem;everscale-ecosystem;evmos-ecosystem;fantom-ecosystem;fiat-stablecoin;fuse-ecosystem;gnosis-chain-ecosystem;godwoken-ecosystem;harmony-ecosystem;hedera-hashgraph-ecosystem;hyperevm-ecosystem;injective-ecosystem;iotex-ecosystem;kardiachain-ecosystem;kava-ecosystem;kcc-ecosystem;made-in-america;mantle-ecosystem;medium-of-exchange;meter-ecosystem;metis-andromeda-ecosystem;mil;milkomeda-ecosystem;monad-ecosystem;moonbeam-ecosystem;moonriver-ecosystem;multiversx-ecosystem;near-protocol-ecosystem;neon-evm-ecosystem;oasis-ecosystem;okexchain-ecosystem;optimism-ecosystem;osmosis-ecosystem;polygon-ecosystem;polygon-zkevm-ecosystem;pulsechain-ecosystem;ronin-ecosystem;scroll-ecosystem;secret-ecosystem;sei-ecosystem;shido-network-ecosystem;solana-ecosystem;sonic-ecosystem;sophon-ecosystem;stablecoin;stablecoin-asset-backed;starknet-ecosystem;stellar-ecosystem;sui-ecosystem;sx-network-ecosystem;syscoin-ecosystem;telos-ecosystem;terra-ecosystem;thundercore-ecosystem;tomb-chain-ecosystem;tron20-ecosystem;unichain-ecosystem;usd-stablecoin;vector-smart-chain-ecosystem;velas-ecosystem;venom-ecosystem;viction-ecosystem;wanchain-ecosystem;waves-ecosystem;wemix-ecosystem;world-liberty-financial-portfolio;xdc-ecosystem;xlayer-ecosystem;zksync-era-ecosystem
3330,USDP,Pax Dollar,2018-10-31,asset-backed-stablecoin;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;ethereum-ecosystem;fiat-stablecoin;solana-ecosystem;stablecoin;stablecoin-asset-backed;store-of-value;usd-stablecoin
3306,GUSD,Gemini Dollar,2018-11-30,asset-backed-stablecoin;ethereum-ecosystem;fiat-stablecoin;near-protocol-ecosystem;stablecoin;stablecoin-asset-backed;store-of-value;usd-stablecoin
2989,EURS,STASIS EURO,2018-11-30,asset-backed-stablecoin;ethereum-ecosystem;eur-stablecoin;fiat-stablecoin;marketplace;stablecoin;stablecoin-asset-backed;wallet;xdc-ecosystem
2907,KBC,Karatgold Coin,2019-08-31,stablecoin;stablecoin-asset-backed;store-of-value
4064,USDK,USDK,2019-08-31,asset-backed-stablecoin;medium-of-exchange;stablecoin;stablecoin-asset-backed;usd-stablecoin
3920,DPT,Diamond Platform Token,2019-09-30,stablecoin;stablecoin-asset-backed;store-of-value
4687,BUSD,BUSD,2019-10-31,alleged-sec-securities;asset-backed-stablecoin;avalanche-ecosystem;binance-chain;binance-smart-chain;bitgert-ecosystem;bnb-chain;bnb-chain-ecosystem;ethereum-ecosystem;fiat-stablecoin;fuse-ecosystem;harmony-ecosystem;linea-ecosystem;moonriver-ecosystem;optimism-ecosystem;polygon-ecosystem;solana-ecosystem;stablecoin;stablecoin-asset-backed;store-of-value;tron20-ecosystem;usd-stablecoin;velas-ecosystem;zksync-era-ecosystem
2319,QC,Qcash,2019-12-31,stablecoin
4943,DAI,Dai,2020-01-31,arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;aurora-ecosystem;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bitgert-ecosystem;bnb-chain;bnb-chain-ecosystem;boba-network-ecosystem;cronos-ecosystem;defi;energi-ecosystem;ethereum;ethereum-ecosystem;everscale-ecosystem;fantom-ecosystem;gnosis-chain-ecosystem;harmony-ecosystem;klaytn-ecosystem;metis-andromeda-ecosystem;moonbeam-ecosystem;moonriver-ecosystem;near-protocol-ecosystem;optimism-ecosystem;osmosis-ecosystem;polygon-ecosystem;pulsechain-ecosystem;solana-ecosystem;sora-ecosystem;stablecoin;starknet-ecosystem;terra-ecosystem;toncoin-ecosystem;usd-stablecoin;xlayer-ecosystem
3964,RSR,Reserve Rights,2020-02-29,arrington-xrp-capital;asset-backed-stablecoin;base-ecosystem;binance-ecosystem;binance-listing;bitcoin-ecosystem;coinbase-ventures-portfolio;dcg-portfolio;defi;ethereum-ecosystem;made-in-america;real-world-assets;real-world-assets-protocols;stablecoin;stablecoin-asset-backed;store-of-value
4779,HUSD,HUSD,2020-04-30,asset-backed-stablecoin;medium-of-exchange;pow;stablecoin;stablecoin-asset-backed;usd-stablecoin
3717,WBTC,Wrapped Bitcoin,2020-06-30,arbitrum-ecosystem;arbitrum-ecosytem;aurora-ecosystem;avalanche-ecosystem;binance-ecosystem;binance-listing;bitcoin-ecosystem;btc-ecosystem;b²-network-ecosystem;conflux-ecosystem;cronos-ecosystem;defi;ethereum-ecosystem;ethereum-pow-ecosystem;ethereumpow-ecosystem;etherlink-ecosystem;everscale-ecosystem;fantom-ecosystem;ftx-bankruptcy-estate;harmony-ecosystem;iotex-ecosystem;kcc-ecosystem;medium-of-exchange;merlin-ecosystem;metis-andromeda-ecosystem;milkomeda-ecosystem;monad-ecosystem;moonbeam-ecosystem;moonriver-ecosystem;move-vm;near-protocol-ecosystem;optimism-ecosystem;osmosis-ecosystem;polygon-ecosystem;privacy;rehypothecated-crypto;solana-ecosystem;stablecoin;stablecoin-asset-backed;stacks-ecosystem;starknet-ecosystem;sui-ecosystem;telos-ecosystem;terra-ecosystem;toncoin-ecosystem;tron20-ecosystem;unichain-ecosystem;velas-ecosystem;viction-ecosystem;waves-ecosystem;world-liberty-financial-portfolio;wrapped-tokens;x-layer-ecosystem;xlayer-ecosystem;zilliqa-ecosystem;zksync-era-ecosystem
