cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
788,COVAL,Circuits of Value,1,0x3d658390460295fb963f54dc0899cfb1c30776df,True,AdminUpgradeabilityProxy->impl:CircuitsOfValue,1,-,,,,-,,,,Transfer(universal)
1104,REP,Augur,1,0x1985365e9f78359a9B6AD760e32412f4a445E862,True,Delegator->impl:ReputationToken,1,-,,,,-,,,,Transfer(universal)
1166,WARP,WARP,1,0x83e6f1E41cdd28eAcEB20Cb649155049Fac3D5Aa,True,PolkastarterToken,0,-,,,,-,,,,Transfer(universal)
1274,WAVES,Waves,1,0x7296eaA225804451a91616b29D040cAB05435f0d,True,WrappedToken,0,-,,,,-,,,,Transfer(universal)
1467,ARC,Arcade Token,1,0xac709fcb44a43c35f0da4e3163b117a17f3770f5,True,ARCToken,0,-,,,,-,,,,Transfer(universal)
1500,WINGS,Wings,1,0x667088b212ce3d06a1b553a7221E1fD19000d9aF,True,Token,0,-,,,,-,,,,Transfer(universal)
1503,JUP,Jupiter,1,0x4B1E80cAC91e2216EEb63e29B957eB91Ae9C2Be8,True,Jupiter,0,-,,,,-,,,,Transfer(universal)
1518,MKR,Maker,1,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,True,DSToken,0,-,,,,-,,,,Transfer(universal)
1552,MLN,Enzyme,1,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,True,Melon,0,-,,,,-,,,,Transfer(universal)
1556,TIME,Chrono.tech,1,0x485d17A6f1B8780392d53D64751824253011A260,True,TimeToken,0,-,,,,-,,,,Transfer(universal)
1637,RLC,iExec RLC,1,0x607f4c5bb672230e8672085532f7e901544a7375,True,RLC,0,-,,,,-,,,,Transfer(universal)
1660,TKN,Monolith,1,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,True,Token,0,-,,,,-,,,,Transfer(universal)
1680,ANT,Aragon,1,0xa117000000f279d81a1d3cc75430faa017fa5a2e,True,ANTv2,0,-,,,,-,,,,Transfer(universal)
1722,MORE,More Coin,1,0x305DE070488C8469dFAC957226c9c900c4BFbA22,True,Token,0,-,,,,-,,,,Transfer(universal)
1732,NMR,Numeraire,1,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,True,NumeraireBackend->impl:UpgradeDelegate,1,GENUINE,"Staked(address,bytes32,uint256,uint256,uint256,uint256)",1000,3905941,delegation-only,"DelegateChanged(address,address)",4,3902419,Transfer(universal)
1757,FUN,FUNToken,1,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,True,Token,0,-,,,,-,,,,Transfer(universal)
1758,PAY,TenX,1,0xb97048628db6b661d4c2aa833e95dbe1a905b280,True,PayToken,0,-,,,,-,,,,Transfer(universal)
1768,ADX,AdEx,1,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,True,ADXToken,0,-,,,,-,,,,Transfer(universal)
1808,OMG,OMG Network,1,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,True,OMGToken,0,-,,,,-,,,,Transfer(universal)
1834,PLR,Pillar,1,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,True,PillarToken,0,-,,,,-,,,,Transfer(universal)
1847,MSP,Mothership,1,0x68aa3f232da9bdc2343465545794ef3eea5209bd,True,MSP,0,-,,,,-,,,,Transfer(universal)
1882,CAT,BlockCAT,1,0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,True,CATToken,0,-,,,,-,,,,Transfer(universal)
1982,KNCL,Kyber Network Crystal Legacy,1,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,True,KyberNetworkCrystal,0,-,,,,-,,,,Transfer(universal)
1984,SUB,Substratum,1,0x8D75959f1E61EC2571aa72798237101F084DE63a,True,Substratum,0,-,,,,-,,,,Transfer(universal)
2015,ATM,ATMChain,1,0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,True,ATMToken,0,-,,,,-,,,,Transfer(universal)
2057,EDO,Eidoo,1,0xced4e93198734ddaff8492d525bd258d49eb388e,True,EidooToken,0,-,,,,-,,,,Transfer(universal)
2058,AST,AirSwap,1,0x27054b13b1b798b345b591a4d22e6562d47ea75a,True,AirSwapToken,0,event-declared(no logs),"BalanceLocked(address,uint256,uint256,uint256)",0,,-,,,,Transfer(universal)
2071,REQ,Request,1,0x8f8221afbb33998d8584a2b05749ba73c37a938a,True,RequestToken,0,-,,,,-,,,,Transfer(universal)
2081,AMB,AirDAO,1,0xf4fb9bf10e489ea3edb03e094939341399587b0c,True,BridgeERC20,0,-,,,,-,,,,Transfer(universal)
2096,RCN,Ripio Credit Network,1,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,True,RCNToken,0,-,,,,-,,,,Transfer(universal)
