cmc_id,symbol,name,picked_chainid,picked_address,reachable,n_platforms,platforms
314,OC,OrangeCoin,,,False,0,
329,SYNC,Sync,,,False,0,
399,MIN,Mineralscoin,,,False,0,
473,APEX,ApexCoin,,,False,0,
603,DEX,InstantDEX,,,False,0,
659,BITS,Bitswift,,,False,0,
661,ARCH,ARCHcoin,,,False,0,
671,GAIA,GAIA,,,False,0,
703,RBT,Rimbit,,,False,0,
769,XUSD,CoinoUSD,,,False,0,
785,GP,GoldPieces,,,False,0,
788,COVAL,Circuits of Value,1,0x3d658390460295fb963f54dc0899cfb1c30776df,True,3,Ethereum:0x3d658390460295fb963f54dc0899cfb1c30776df | BNB Smart Chain (BEP20):0xd15cee1deafbad6c0b3fd7489677cc102b141464 | Polygon:0x4597c8a59ab28b36840b82b3a674994a279593d0
793,CELL,SolarFarm,,,False,0,
810,LQD,LIQUID,,,False,0,
814,DOT,Dotcoin,,,False,0,
873,XEM,NEM,,,False,0,
888,JAY,Jay,,,False,0,
963,CORE,CORE,,,False,0,
1062,FLY,Flycoin,,,False,0,
1080,NEU,NeuCoin,,,False,0,
1091,PLS,PLAY,,,False,0,
1104,REP,Augur,1,0x1985365e9f78359a9B6AD760e32412f4a445E862,True,1,Ethereum:0x1985365e9f78359a9B6AD760e32412f4a445E862
1121,BST,BitStone,,,False,0,
1125,AMP,HyperSpace,,,False,0,
1166,WARP,WARP,1,0x83e6f1E41cdd28eAcEB20Cb649155049Fac3D5Aa,True,0,
1237,JACK,BlackJack,,,False,0,
1253,DAO,The DAO,,,False,0,
1274,WAVES,Waves,1,0x7296eaA225804451a91616b29D040cAB05435f0d,True,4,Ethereum:0x7296eaA225804451a91616b29D040cAB05435f0d | BNB Smart Chain (BEP20):0xcbc86b26e0BD751683ecF2581B21f7cE4a224042 | Solana:4XEjo9GZkKom3E26NQiidJLawwM9kbt76gUMDdGe1meQ | Waves:WAVES
1295,DRACO,DT Token,,,False,0,
1467,ARC,Arcade Token,1,0xac709fcb44a43c35f0da4e3163b117a17f3770f5,True,1,Ethereum:0xac709fcb44a43c35f0da4e3163b117a17f3770f5
