cmc_id,symbol,name,asset_class,chainid,address,reachable,getlogs_free,contract,ch1,ch1_event,ch1_logs,ch1_firstblock,ch2,ch3,ch3_event,ch3_logs,ch3_firstblock,n_platforms
30943,$MICHI,michi (SOL),other,,,no,,,-,,,,,-,,,,1
900,007,007Coin,other,,,no,,,-,,,,,-,,,,0
23355,0x0,0x0.ai,other,1,0x5a3e6A77ba2f983eC0d371ea3B475F8Bc0811AD5,yes,yes,OxO,-,,,,Transfer-log,-,,,,1
28683,1000SATS,SATS,other,,,no,,,-,,,,,-,,,,0
1109,1337,Elite,other,,,no,,,-,,,,,-,,,,0
930,16BIT,16bit,other,,,no,,,-,,,,,-,,,,0
16604,1ECO,1eco,other,1,0x1af2eaeaf2b1d9dda800861268e6bbb3995a6c3b,yes,yes,ECO1,-,,,,Transfer-log,-,,,,1
33031,1MBABYDOGE,Baby Doge Coin,other,,,no,,,-,,,,,-,,,,0
1403,1ST,FirstBlood,other,1,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,yes,yes,FirstBloodToken,-,,,,Transfer-log,-,,,,1
38515,2Z,DoubleZero,other,,,no,,,-,,,,,-,,,,1
890,8BIT,8Bit,other,,,no,,,-,,,,,-,,,,0
2438,AAC,Acute Angle Cloud,other,1,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864,yes,yes,AAC,-,,,,Transfer-log,-,,,,1
36994,AAPLX,Apple tokenized stock (xStock),other,1,0x9d275685dc284c8eb1c79f6aba7a63dc75ec890a,yes,yes,BackedTokenProxy->impl:BackedAutoFeeTokenImplementation,-,,,,Transfer-log,-,,,,6
6958,ACH,Alchemy Pay,other,1,0xed04915c23f00a313a544955524eb7dbd823143d,yes,yes,ACH,-,,,,Transfer-log,-,,,,2
38185,ADI,ADI,other,1,0x8b1484d57abbe239bb280661377363b03c89caea,yes,yes,ERC1967Proxy->impl:ADI,-,,,,Transfer-log,-,,,,1
1706,ADK,Aidos Kuneen,other,,,no,,,-,,,,,-,,,,0
4057,ADN,Aladdin,other,1,0x95a41fB80ca70306e9Ecf4e51ceA31bD18379C18,yes,yes,Aladdin,-,,,,Transfer-log,-,,,,1
1775,ADT,adToken,other,1,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,yes,yes, [UNVERIFIED],-,,,,Transfer-log,-,,,,1
1037,AGRS,Agoras: Tau Net,other,1,0x738865301a9b7dd80dc3666dd48cf034ec42bdda,yes,yes,AgorasToken,event-declared-no-logs,Locked(address),0,,Transfer-log,-,,,,1
3664,AGVC,AgaveCoin,other,1,0x8b79656FC38a04044E495e22fAD747126ca305C4,yes,yes,AgaveCoin,-,,,,Transfer-log,-,,,,1
34026,AI16Z,ai16z,other,,,no,,,-,,,,,-,,,,1
38430,AIA,DeAgentAI,other,56,0x53EC33Cd4fA46b9ecED9cA3f6dB626C5FfCd55cC,yes,no(PAID),AIA,-,,,,Transfer-log(PAID),-,,,,2
32968,AIC,AI Companions,other,56,0xbe6ad1eb9876cf3d3f9b85feecfb400298e80143,yes,no(PAID),AICompanions,-,,,,Transfer-log(PAID),-,,,,1
2407,AIT,AICHAIN,other,1,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,yes,yes,AIT_TokenERC20,-,,,,Transfer-log,-,,,,1
34103,AIXBT,aixbt,other,1,0x0D37aF9D8AE74F35F3A38bD2a08FcB29890Ca6d2,yes,yes,AixbtOFT,-,,,,Transfer-log,-,,,,3
7431,AKT,Akash Network,other,,,no,,,-,,,,,-,,,,1
